N,worst(secs),best(secs)
1,2.000015e-007,0.000000e+000
2,1.001172e-007,0.000000e+000
3,1.001172e-007,0.000000e+000
4,2.000015e-007,0.000000e+000
5,3.001187e-007,0.000000e+000
6,3.001187e-007,0.000000e+000
7,3.001187e-007,9.988435e-008
8,1.700129e-006,1.001172e-007
9,1.800014e-006,1.001172e-007
10,5.001202e-007,2.000015e-007
11,2.099900e-006,2.998859e-007
12,3.000023e-006,2.998859e-007
13,2.300134e-006,4.000030e-007
14,2.600020e-006,4.000030e-007
15,1.200009e-006,5.001202e-007
16,1.400011e-006,6.000046e-007
17,1.400011e-006,6.998889e-007
18,2.800021e-006,6.998889e-007
19,3.000023e-006,8.000061e-007
20,3.400026e-006,8.998904e-007
21,4.099915e-006,1.000008e-006
22,2.099900e-006,1.100125e-006
23,3.600027e-006,1.299893e-006
24,4.099915e-006,1.299893e-006
25,5.600043e-006,1.300126e-006
26,5.699927e-006,1.699897e-006
27,1.559989e-005,1.899898e-006
28,4.699919e-006,1.799781e-006
29,5.999813e-006,1.899898e-006
30,2.400018e-005,2.099900e-006
31,5.499925e-006,2.099900e-006
32,5.000038e-006,2.400018e-006
33,6.800052e-006,2.299901e-006
34,7.000053e-006,2.800021e-006
35,7.299939e-006,2.899906e-006
36,7.400056e-006,3.000023e-006
37,7.500174e-006,3.299909e-006
38,7.900177e-006,3.600027e-006
39,8.499948e-006,3.799796e-006
40,7.899944e-006,3.199792e-006
41,8.400064e-006,4.100148e-006
42,2.499996e-005,4.200032e-006
43,8.400064e-006,4.500151e-006
44,9.800075e-006,5.599810e-006
45,4.419987e-005,5.499925e-006
46,1.233001e-004,5.500158e-006
47,2.879999e-005,7.599825e-006
48,1.020008e-005,6.899936e-006
49,1.149997e-005,6.400049e-006
50,7.599825e-006,5.999813e-006
51,2.810010e-005,6.099930e-006
52,1.570000e-005,6.400049e-006
53,8.499948e-006,6.799819e-006
54,8.800067e-006,6.699935e-006
55,9.109988e-005,7.399824e-006
56,2.590008e-005,6.699935e-006
57,1.110020e-005,7.899944e-006
58,1.239986e-005,7.699942e-006
59,2.390007e-005,8.299947e-006
60,1.379987e-005,9.299954e-006
61,8.559995e-005,9.000069e-006
62,1.650001e-005,1.009996e-005
63,3.620004e-005,9.299954e-006
64,2.710009e-005,9.499956e-006
65,1.870003e-005,1.000008e-005
66,1.420011e-005,1.020008e-005
67,1.740013e-005,1.060008e-005
68,1.111999e-004,1.049996e-005
69,2.859998e-005,1.109997e-005
70,2.589985e-005,1.149997e-005
71,2.460019e-005,1.189997e-005
72,1.929980e-005,1.080008e-005
73,1.620012e-005,1.239986e-005
74,2.839998e-005,1.240009e-005
75,1.750002e-005,1.300010e-005
76,1.129000e-004,1.410022e-005
77,3.029988e-005,1.419988e-005
78,2.149981e-005,1.420011e-005
79,2.599997e-005,1.429999e-005
80,1.890003e-005,1.479988e-005
81,3.260002e-005,1.460011e-005
82,2.039992e-005,1.579989e-005
83,4.249997e-005,1.630001e-005
84,5.059992e-005,1.570000e-005
85,3.760005e-005,1.660013e-005
86,3.409991e-005,1.669978e-005
87,2.200017e-005,1.770002e-005
88,2.139993e-005,1.750002e-005
89,9.799981e-005,1.799990e-005
90,6.969995e-005,1.870003e-005
91,2.990011e-005,1.929980e-005
92,4.019984e-005,1.949980e-005
93,2.590008e-005,2.019992e-005
94,6.260001e-005,2.039992e-005
95,6.490014e-005,2.090004e-005
96,3.949995e-005,2.139993e-005
97,3.080000e-005,2.089981e-005
98,4.179985e-005,2.219994e-005
99,6.290013e-005,2.239994e-005
100,6.300001e-005,2.299994e-005
101,2.769986e-005,2.319994e-005
102,5.370006e-005,2.250005e-005
103,8.499995e-005,2.399995e-005
104,1.665000e-004,2.339995e-005
105,3.429991e-005,2.470007e-005
106,4.860014e-005,2.589985e-005
107,7.879990e-005,2.559996e-005
108,5.440018e-005,2.599997e-005
109,5.559996e-005,2.619997e-005
110,3.909995e-005,2.739998e-005
111,2.983001e-004,2.779998e-005
112,5.370006e-005,2.879999e-005
