N,worst(secs),best(secs)
1,4.000030e-007,0.000000e+000
2,1.001172e-007,0.000000e+000
3,1.499895e-006,0.000000e+000
4,4.000030e-007,0.000000e+000
5,5.001202e-007,9.988435e-008
6,1.800014e-006,9.988435e-008
7,5.001202e-007,2.000015e-007
8,1.900131e-006,2.000015e-007
9,6.000046e-007,2.000015e-007
10,6.000046e-007,2.000015e-007
11,2.470007e-005,2.998859e-007
12,2.200017e-006,3.001187e-007
13,2.100132e-006,3.997702e-007
14,2.299901e-006,2.998859e-007
15,8.000061e-007,4.000030e-007
16,7.001217e-007,4.000030e-007
17,1.100125e-006,4.000030e-007
18,2.400018e-006,4.998874e-007
19,2.400018e-006,6.000046e-007
20,2.500135e-006,6.000046e-007
21,2.700137e-006,6.000046e-007
22,1.600012e-006,6.998889e-007
23,2.700137e-006,8.000061e-007
24,2.800021e-006,8.000061e-007
25,2.800021e-006,8.000061e-007
26,2.899906e-006,8.998904e-007
27,3.100140e-006,8.998904e-007
28,3.099907e-006,1.000008e-006
29,3.299909e-006,1.099892e-006
30,3.200024e-006,1.000008e-006
31,3.399793e-006,1.200009e-006
32,3.599795e-006,1.199776e-006
33,3.400026e-006,1.299893e-006
34,3.200024e-006,1.299893e-006
35,3.499910e-006,1.299893e-006
36,3.699912e-006,1.299893e-006
37,3.600027e-006,1.499895e-006
38,5.000038e-006,1.500128e-006
39,3.800029e-006,1.599779e-006
40,5.299924e-006,1.600012e-006
41,2.860022e-005,1.799781e-006
42,1.699990e-005,1.800014e-006
43,1.810002e-005,1.800014e-006
44,4.399801e-006,1.899898e-006
45,1.369999e-005,1.699897e-006
46,2.600020e-006,1.999782e-006
47,2.700137e-006,1.899898e-006
48,4.099915e-006,2.000015e-006
49,5.200040e-006,2.199784e-006
50,3.300142e-006,2.200017e-006
51,3.799796e-006,2.299901e-006
52,6.400049e-006,2.399785e-006
53,3.200024e-006,2.399785e-006
54,5.000038e-006,2.499903e-006
55,5.099922e-006,2.400018e-006
56,4.899921e-006,2.500135e-006
57,6.400049e-006,2.699904e-006
58,5.400041e-006,2.700137e-006
59,5.700160e-006,2.699904e-006
60,3.449991e-005,2.800021e-006
61,1.630001e-005,3.000023e-006
62,2.000015e-005,2.800021e-006
63,6.699935e-006,2.899906e-006
64,5.499925e-006,3.000023e-006
65,7.199822e-006,3.200024e-006
66,6.399816e-006,3.200024e-006
67,7.200055e-006,3.200024e-006
68,6.200047e-006,3.299909e-006
69,6.840006e-005,3.400026e-006
70,1.690001e-005,3.499910e-006
71,1.189997e-005,3.899913e-006
72,6.799819e-006,4.200032e-006
73,2.010004e-005,4.499918e-006
74,1.590999e-004,4.000030e-006
75,2.170005e-005,3.999798e-006
76,6.700167e-006,4.200032e-006
77,6.700167e-006,3.800029e-006
78,6.399816e-006,3.799796e-006
79,5.000038e-006,3.900146e-006
80,8.700183e-006,4.099915e-006
81,7.000053e-006,4.099915e-006
82,6.100163e-006,4.099915e-006
83,1.089997e-005,5.200040e-006
84,5.410006e-005,4.499918e-006
85,9.500189e-006,4.400034e-006
86,1.530000e-004,4.499918e-006
87,2.559996e-005,4.699919e-006
88,2.220017e-005,5.099922e-006
89,2.750009e-005,4.800037e-006
90,8.900184e-006,4.699919e-006
91,7.499941e-006,4.899921e-006
92,6.099930e-006,4.899921e-006
93,2.470007e-005,4.999805e-006
94,1.240009e-005,5.099922e-006
95,7.399986e-005,5.499925e-006
96,3.540004e-005,5.299924e-006
97,9.400072e-006,5.099922e-006
98,7.800059e-006,5.300157e-006
99,8.200062e-006,5.299924e-006
100,9.699957e-006,5.499925e-006
101,9.600073e-006,5.399808e-006
102,1.000008e-005,5.499925e-006
103,1.010019e-005,5.600043e-006
104,9.099953e-006,5.800044e-006
105,7.000053e-006,5.699927e-006
106,2.919999e-005,5.800044e-006
107,2.320018e-005,5.799811e-006
108,1.059985e-005,5.899929e-006
109,7.899944e-006,6.099930e-006
110,9.400072e-006,6.200047e-006
111,9.400072e-006,6.299932e-006
112,8.099945e-006,6.499933e-006
113,1.890003e-005,6.299932e-006
114,7.800059e-006,6.499933e-006
115,7.600058e-006,6.600050e-006
116,1.129997e-005,6.499933e-006
117,4.080008e-005,6.899936e-006
118,2.889987e-005,6.799819e-006
119,8.399831e-006,6.899936e-006
120,1.209998e-005,6.899936e-006
121,1.049996e-005,7.000053e-006
122,1.009996e-005,6.999820e-006
123,1.179986e-005,7.099938e-006
124,1.079985e-005,7.199822e-006
125,1.540012e-005,7.199822e-006
126,1.229998e-005,7.200055e-006
127,6.400002e-005,7.200055e-006
128,2.490007e-005,7.499941e-006
129,2.869987e-005,7.500174e-006
130,1.169997e-005,7.599825e-006
131,1.149997e-005,7.799827e-006
132,1.240009e-005,7.500174e-006
133,1.240009e-005,7.699942e-006
134,1.239986e-005,7.800059e-006
135,1.169997e-005,7.800059e-006
136,3.999984e-005,8.099945e-006
137,1.960015e-005,8.000061e-006
138,1.249998e-005,8.200062e-006
139,1.180009e-005,8.099945e-006
140,1.259986e-005,8.099945e-006
141,1.169997e-005,8.200062e-006
142,1.490000e-005,8.400064e-006
143,1.189997e-005,8.699950e-006
144,1.149997e-005,8.699950e-006
145,4.469999e-005,8.700183e-006
146,6.680004e-005,8.899951e-006
147,1.169997e-005,8.899951e-006
148,1.160009e-005,8.899951e-006
149,1.229998e-005,9.000069e-006
150,1.049996e-005,9.199837e-006
151,1.349999e-005,9.199837e-006
152,1.199986e-005,9.200070e-006
153,1.200009e-005,9.400072e-006
154,6.060000e-005,9.699957e-006
155,2.819998e-005,9.700190e-006
156,1.470000e-005,9.599840e-006
157,1.409999e-005,9.599840e-006
158,1.460011e-005,9.699957e-006
159,1.259986e-005,9.899959e-006
160,1.240009e-005,9.899959e-006
161,1.300010e-005,1.009996e-005
162,2.320018e-005,9.999843e-006
163,2.190005e-005,1.029996e-005
164,1.730002e-005,1.029996e-005
165,1.359987e-005,1.029996e-005
166,2.080016e-005,1.029996e-005
167,1.349999e-005,1.020008e-005
168,1.330022e-005,1.059985e-005
169,1.349999e-005,1.089997e-005
170,2.370006e-005,1.100008e-005
171,3.540004e-005,1.089997e-005
172,1.550000e-005,1.069997e-005
173,1.630001e-005,1.079985e-005
174,1.409999e-005,1.089997e-005
175,1.630001e-005,1.089997e-005
176,1.470000e-005,1.129997e-005
177,4.300009e-005,1.129997e-005
178,3.130012e-005,1.219986e-005
179,3.120000e-005,1.129997e-005
180,1.730002e-005,1.129997e-005
181,1.620012e-005,1.129997e-005
182,1.499988e-005,1.160009e-005
183,1.369999e-005,1.160009e-005
184,1.670001e-005,1.160009e-005
185,1.567998e-004,1.180009e-005
186,4.680012e-005,1.210021e-005
187,1.679990e-005,1.209998e-005
188,1.740013e-005,1.220009e-005
189,1.810002e-005,1.209998e-005
190,2.679997e-005,1.239986e-005
191,1.920015e-005,1.249998e-005
192,3.559981e-005,1.260010e-005
193,4.419987e-005,1.279986e-005
194,1.619989e-005,1.259986e-005
195,1.950003e-005,1.269998e-005
196,1.830002e-005,1.289998e-005
197,2.070004e-005,1.280010e-005
198,1.789979e-005,1.300010e-005
199,4.939991e-005,1.299987e-005
200,4.169997e-005,1.339987e-005
201,1.879991e-005,1.329998e-005
202,1.890003e-005,1.339987e-005
203,1.990004e-005,1.339987e-005
204,1.650001e-005,1.409999e-005
205,1.980015e-005,1.349999e-005
