N,worst(secs),best(secs)
1,3.001187e-007,0.000000e+000
2,1.001172e-007,0.000000e+000
3,2.000015e-007,0.000000e+000
4,3.001187e-007,0.000000e+000
5,2.000015e-006,9.988435e-008
6,5.001202e-007,1.001172e-007
7,4.998874e-007,9.988435e-008
8,5.001202e-007,1.997687e-007
9,1.800014e-006,2.000015e-007
10,8.000061e-007,2.998859e-007
11,8.000061e-007,2.998859e-007
12,2.099900e-006,2.998859e-007
13,2.099900e-006,4.000030e-007
14,2.099900e-006,4.000030e-007
15,2.400018e-006,4.000030e-007
16,2.099900e-006,4.000030e-007
17,2.600020e-006,4.998874e-007
18,2.500135e-006,4.998874e-007
19,1.299893e-006,6.000046e-007
20,2.600020e-006,6.000046e-007
21,2.600020e-006,6.998889e-007
22,2.900138e-006,6.998889e-007
23,1.500128e-006,1.000008e-006
24,2.900138e-006,8.000061e-007
25,3.000023e-006,8.998904e-007
26,3.099907e-006,9.997748e-007
27,3.200024e-006,9.997748e-007
28,1.300126e-006,1.099892e-006
29,3.299909e-006,1.099892e-006
30,1.500128e-006,1.099892e-006
31,3.199792e-006,1.199776e-006
32,3.500143e-006,1.299893e-006
33,1.870003e-005,1.499895e-006
34,4.100148e-006,1.600012e-006
35,2.080016e-005,1.499895e-006
36,2.129981e-005,1.599779e-006
37,5.299924e-006,1.600012e-006
38,4.499918e-006,1.699897e-006
39,2.100132e-006,1.699897e-006
40,4.100148e-006,1.799781e-006
41,1.349999e-005,1.799781e-006
42,2.400018e-006,1.800014e-006
43,5.899929e-006,1.899898e-006
44,4.700152e-006,1.999782e-006
45,6.099930e-006,2.099900e-006
46,4.399801e-006,2.099900e-006
47,4.800037e-006,2.200017e-006
48,6.199814e-006,2.200017e-006
49,5.000038e-006,2.299901e-006
50,5.299924e-006,2.400018e-006
51,5.000038e-006,2.400018e-006
52,5.200040e-006,2.400018e-006
53,6.799819e-006,2.600020e-006
54,5.099922e-006,2.600020e-006
55,5.699927e-006,2.699904e-006
56,1.670001e-005,3.300142e-006
57,2.239994e-005,3.099907e-006
58,1.990004e-005,3.000023e-006
59,1.990004e-005,2.800021e-006
60,6.099930e-006,3.000023e-006
61,6.100163e-006,3.099907e-006
62,5.800044e-006,3.200024e-006
63,6.200047e-006,3.299909e-006
64,7.600058e-006,3.299909e-006
65,6.499933e-006,3.400026e-006
66,7.700175e-006,3.499910e-006
67,6.599817e-006,3.599795e-006
68,8.000061e-006,3.699912e-006
69,8.200062e-006,3.599795e-006
70,7.000053e-006,3.800029e-006
71,7.299939e-006,3.800029e-006
72,7.000053e-006,3.899913e-006
73,7.099938e-006,4.000030e-006
74,1.870003e-005,4.099915e-006
75,2.110004e-005,4.300149e-006
76,2.149981e-005,5.199807e-006
77,8.899951e-006,5.800044e-006
78,8.899951e-006,4.499918e-006
79,9.399839e-006,4.400034e-006
80,7.699942e-006,4.800037e-006
81,9.200070e-006,4.599802e-006
82,8.399831e-006,4.600035e-006
83,8.100178e-006,4.799804e-006
84,9.600073e-006,4.799804e-006
85,5.650008e-005,5.000038e-006
86,6.650016e-005,5.099922e-006
87,2.209982e-005,5.099922e-006
88,2.750009e-005,5.200040e-006
89,6.100163e-006,5.199807e-006
90,9.099953e-006,5.200040e-006
91,8.399831e-006,5.400041e-006
92,6.399816e-006,5.400041e-006
93,9.899959e-006,5.400041e-006
94,6.849994e-005,5.599810e-006
95,6.549992e-005,5.699927e-006
96,1.039985e-005,5.800044e-006
97,1.109997e-005,5.799811e-006
98,9.600073e-006,5.899929e-006
99,9.199837e-006,6.000046e-006
100,1.109997e-005,6.000046e-006
101,1.149997e-005,6.200047e-006
102,9.299954e-006,6.200047e-006
103,9.400072e-006,6.299932e-006
104,8.999836e-006,6.399816e-006
105,8.699950e-006,6.400049e-006
106,4.229997e-005,6.600050e-006
107,3.910018e-005,6.800052e-006
108,1.179986e-005,6.699935e-006
109,1.250021e-005,6.799819e-006
110,1.029996e-005,6.999820e-006
111,1.000008e-005,7.000053e-006
112,1.160009e-005,7.099938e-006
113,1.429999e-005,7.200055e-006
114,1.020008e-005,7.299939e-006
115,1.240009e-005,7.299939e-006
116,1.879991e-005,7.499941e-006
117,2.639997e-005,7.600058e-006
118,2.230005e-005,7.599825e-006
119,1.199986e-005,7.699942e-006
120,1.279986e-005,7.699942e-006
121,8.899951e-006,7.899944e-006
122,1.269998e-005,7.999828e-006
123,1.209998e-005,8.100178e-006
124,1.249998e-005,8.099945e-006
125,9.300187e-006,8.099945e-006
126,1.259986e-005,8.099945e-006
127,5.550007e-005,8.300180e-006
128,3.440003e-005,8.499948e-006
129,1.480011e-005,8.499948e-006
130,1.499988e-005,8.699950e-006
131,1.209998e-005,8.699950e-006
132,1.260010e-005,8.699950e-006
133,1.160009e-005,8.800067e-006
134,1.329998e-005,8.900184e-006
135,1.239986e-005,8.800067e-006
136,1.490000e-005,9.099953e-006
137,3.200001e-005,9.200070e-006
138,1.380011e-005,9.200070e-006
139,1.179986e-005,9.399839e-006
140,1.170021e-005,9.199837e-006
141,1.679990e-005,1.140009e-005
142,1.400011e-005,9.499956e-006
143,1.300010e-005,9.799842e-006
144,1.420011e-005,9.799842e-006
145,1.089000e-004,1.000008e-005
146,4.329998e-005,1.009996e-005
147,1.579989e-005,1.009996e-005
148,1.460011e-005,1.009996e-005
149,1.329998e-005,1.019984e-005
150,1.260010e-005,1.029996e-005
151,1.380011e-005,1.040008e-005
152,1.460011e-005,1.019984e-005
153,9.670015e-005,1.040008e-005
154,6.980007e-005,1.069997e-005
155,1.540012e-005,1.069997e-005
156,1.699990e-005,1.070020e-005
157,1.519988e-005,1.069997e-005
158,1.710001e-005,1.099985e-005
159,1.329998e-005,1.100008e-005
160,1.550000e-005,1.120009e-005
161,4.580012e-005,1.120009e-005
162,5.479995e-005,1.129997e-005
163,1.730002e-005,1.139985e-005
164,1.269998e-005,1.140009e-005
165,1.640012e-005,1.160009e-005
166,1.500011e-005,1.160009e-005
167,1.530000e-005,1.169997e-005
168,1.710001e-005,1.160009e-005
169,6.120000e-005,1.199986e-005
170,3.009988e-005,1.209998e-005
171,1.750002e-005,1.189997e-005
172,1.439988e-005,1.220009e-005
173,1.470000e-005,1.229998e-005
174,1.690001e-005,1.229998e-005
175,1.380011e-005,1.239986e-005
176,1.580012e-005,1.249998e-005
177,2.800021e-005,1.269998e-005
178,5.390006e-005,1.279986e-005
179,1.559989e-005,1.269998e-005
180,1.880014e-005,1.280010e-005
181,1.819991e-005,1.299987e-005
182,1.519988e-005,1.299987e-005
183,1.570000e-005,1.319987e-005
184,1.526000e-004,1.340010e-005
185,8.570007e-005,1.329998e-005
186,1.939991e-005,1.349999e-005
187,1.590000e-005,1.339987e-005
188,1.590000e-005,1.369999e-005
189,1.499988e-005,1.360010e-005
190,2.739998e-005,1.369999e-005
