N,worst(secs),best(secs)
1,1.001172e-007,0.000000e+000
2,1.001172e-007,0.000000e+000
3,1.001172e-007,0.000000e+000
4,2.000015e-007,0.000000e+000
5,2.000015e-007,0.000000e+000
6,3.001187e-007,9.988435e-008
7,2.998859e-007,9.988435e-008
8,3.001187e-007,9.988435e-008
9,3.001187e-007,9.988435e-008
10,3.001187e-007,9.988435e-008
11,5.001202e-007,2.000015e-007
12,6.000046e-007,2.000015e-007
13,1.999782e-006,2.000015e-007
14,6.000046e-007,2.000015e-007
15,1.899898e-006,2.998859e-007
16,6.998889e-007,2.998859e-007
17,6.000046e-007,2.998859e-007
18,1.899898e-006,3.001187e-007
19,8.000061e-007,2.998859e-007
20,6.000046e-007,4.000030e-007
21,7.001217e-007,4.000030e-007
22,2.200017e-006,4.998874e-007
23,2.299901e-006,4.998874e-007
24,8.000061e-007,5.001202e-007
25,9.001233e-007,5.001202e-007
26,2.600020e-006,6.000046e-007
27,2.899906e-006,6.998889e-007
28,1.099892e-006,6.998889e-007
29,2.600020e-006,6.998889e-007
30,1.200009e-006,6.998889e-007
31,2.799788e-006,8.000061e-007
32,1.300126e-006,8.998904e-007
33,3.000023e-006,8.998904e-007
34,3.099907e-006,1.000008e-006
35,3.000023e-006,8.998904e-007
36,3.099907e-006,1.099892e-006
37,1.500128e-006,1.099892e-006
38,3.300142e-006,1.099892e-006
39,1.700129e-006,1.200009e-006
40,3.300142e-006,1.200009e-006
41,3.699912e-006,1.299893e-006
42,2.200017e-006,1.400011e-006
43,2.000015e-006,1.400011e-006
44,3.800029e-006,1.499895e-006
45,4.099915e-006,1.499895e-006
46,2.200017e-006,1.600012e-006
47,4.099915e-006,1.600012e-006
48,2.699904e-006,1.600012e-006
49,4.299916e-006,1.699897e-006
50,5.699927e-006,1.899898e-006
51,4.300149e-006,2.000015e-006
52,1.530000e-005,1.999782e-006
53,1.580012e-005,1.899898e-006
54,1.910003e-005,2.200017e-006
55,5.699927e-006,2.299901e-006
56,6.599817e-006,2.200017e-006
57,5.899929e-006,2.300134e-006
58,5.699927e-006,2.299901e-006
59,5.200040e-006,2.399785e-006
60,5.099922e-006,2.499903e-006
61,5.200040e-006,2.699904e-006
62,3.600027e-006,2.699904e-006
63,7.299939e-006,2.699904e-006
64,3.900146e-006,2.800021e-006
65,6.299932e-006,2.899906e-006
66,6.899936e-006,2.899906e-006
67,6.400049e-006,3.200024e-006
68,7.600058e-006,3.099907e-006
69,6.300164e-006,3.299909e-006
70,4.400034e-006,3.499910e-006
71,8.099945e-006,3.600027e-006
72,5.899929e-006,3.299909e-006
73,8.200062e-006,3.600027e-006
74,3.740005e-005,3.800029e-006
75,3.250013e-005,4.000030e-006
76,2.510007e-005,3.800029e-006
77,5.299924e-006,4.000030e-006
78,7.800059e-006,4.100148e-006
79,5.700160e-006,4.200032e-006
80,8.500181e-006,4.299916e-006
81,7.399824e-006,4.300149e-006
82,6.299932e-006,4.200032e-006
83,6.099930e-006,4.499918e-006
84,6.200047e-006,4.600035e-006
85,9.499956e-006,4.600035e-006
86,7.600058e-006,4.799804e-006
87,3.940007e-005,6.099930e-006
88,1.160009e-005,6.600050e-006
89,3.189989e-005,6.800052e-006
90,1.829979e-005,5.199807e-006
91,9.400072e-006,5.500158e-006
92,7.099938e-006,5.499925e-006
93,1.169997e-005,5.699927e-006
94,7.500174e-006,5.900161e-006
