N,worst(secs),best(secs)
1,4.000030e-007,0.000000e+000
2,2.000015e-007,0.000000e+000
3,2.000015e-007,0.000000e+000
4,5.001202e-007,0.000000e+000
5,4.700152e-006,9.988435e-008
6,4.000030e-007,9.988435e-008
7,5.001202e-007,1.001172e-007
8,4.998874e-007,2.000015e-007
9,5.001202e-007,2.000015e-007
10,3.200024e-006,2.000015e-007
11,1.800014e-006,2.998859e-007
12,7.001217e-007,4.000030e-007
13,8.000061e-007,4.000030e-007
14,2.800021e-006,4.000030e-007
15,2.600020e-006,4.998874e-007
16,3.100140e-006,5.997717e-007
17,2.799788e-006,7.001217e-007
18,1.400011e-006,7.001217e-007
19,2.699904e-006,8.998904e-007
20,3.200024e-006,1.000008e-006
21,1.800014e-006,1.000008e-006
22,3.200024e-006,1.200009e-006
23,3.600027e-006,1.200009e-006
24,4.000030e-006,1.299893e-006
25,2.300134e-006,1.600012e-006
26,4.300149e-006,1.800014e-006
27,2.800021e-006,1.800014e-006
28,2.800021e-006,1.899898e-006
29,5.000038e-006,1.899898e-006
30,3.400026e-006,2.099900e-006
31,5.700160e-006,2.400018e-006
32,3.700145e-006,2.499903e-006
33,4.700152e-006,2.800021e-006
34,6.400049e-006,2.699904e-006
35,4.299916e-006,3.099907e-006
36,6.500166e-006,2.899906e-006
37,4.699919e-006,3.300142e-006
38,6.600050e-006,3.699912e-006
39,3.469991e-005,3.800029e-006
40,1.069997e-005,4.400034e-006
41,7.000053e-006,4.499918e-006
42,9.300187e-006,4.800037e-006
43,7.800059e-006,5.200040e-006
44,9.999843e-006,4.600035e-006
45,7.699942e-006,5.100155e-006
46,1.009996e-005,5.499925e-006
47,8.499948e-006,5.600043e-006
48,1.060008e-005,6.200047e-006
49,3.069988e-005,6.399816e-006
50,5.390006e-005,6.899936e-006
51,1.320010e-005,6.200047e-006
52,1.259986e-005,7.299939e-006
53,1.320010e-005,7.299939e-006
54,2.279994e-005,7.499941e-006
55,1.359987e-005,7.599825e-006
56,4.440011e-005,8.200062e-006
57,2.819998e-005,8.699950e-006
58,1.289998e-005,8.499948e-006
59,1.510000e-005,8.700183e-006
60,1.299987e-005,8.499948e-006
61,1.460011e-005,9.499956e-006
62,2.870010e-005,1.000008e-005
63,1.630001e-005,1.019984e-005
64,1.419988e-005,1.029996e-005
65,9.610015e-005,1.300010e-005
66,5.099992e-005,1.259986e-005
67,1.810002e-005,1.129997e-005
68,1.740013e-005,1.180009e-005
69,6.820005e-005,1.189997e-005
70,5.999999e-005,1.220009e-005
71,1.630001e-005,1.269998e-005
72,5.109981e-005,1.280010e-005
73,4.670001e-005,1.340010e-005
74,2.119993e-005,1.289998e-005
75,3.089989e-005,1.360010e-005
76,1.750002e-005,1.459988e-005
77,1.899991e-005,1.459988e-005
78,5.299994e-005,1.520012e-005
79,7.710001e-005,1.659989e-005
80,2.249982e-005,1.630001e-005
81,3.140001e-005,1.739990e-005
82,2.330006e-005,1.680013e-005
83,2.430007e-005,1.779990e-005
84,5.949987e-005,1.850002e-005
85,9.079999e-005,1.859991e-005
86,3.829994e-005,1.939991e-005
87,2.630008e-005,1.969980e-005
88,2.479996e-005,2.009980e-005
89,2.419995e-005,2.009980e-005
90,4.610000e-005,2.110004e-005
91,6.520003e-005,2.109981e-005
92,2.890010e-005,2.110004e-005
93,2.729986e-005,2.239994e-005
94,2.799998e-005,2.219994e-005
95,8.319994e-005,2.319994e-005
96,3.759982e-005,2.379995e-005
97,3.020000e-005,2.400018e-005
98,2.879999e-005,2.349983e-005
99,3.100000e-005,2.410007e-005
100,7.339986e-005,2.499996e-005
101,3.489992e-005,2.549984e-005
102,3.140001e-005,2.519996e-005
103,3.120000e-005,2.659997e-005
104,9.990018e-005,2.679997e-005
105,6.760005e-005,2.749986e-005
106,3.349991e-005,2.819998e-005
107,3.410014e-005,2.719997e-005
108,9.089988e-005,2.920022e-005
109,7.120008e-005,2.880022e-005
110,3.480003e-005,2.919999e-005
