N,worst(secs),best(secs)
1,2.000015e-007,0.000000e+000
2,2.000015e-007,0.000000e+000
3,2.000015e-007,0.000000e+000
4,2.000015e-007,0.000000e+000
5,3.001187e-007,9.988435e-008
6,4.000030e-007,9.988435e-008
7,2.800021e-006,2.000015e-007
8,1.800014e-006,2.000015e-007
9,2.009980e-005,1.997687e-007
10,8.400064e-006,2.998859e-007
11,2.200017e-006,2.000015e-007
12,7.001217e-007,2.998859e-007
13,9.001233e-007,3.997702e-007
14,9.001233e-007,4.000030e-007
15,8.000061e-007,4.000030e-007
16,2.300134e-006,4.998874e-007
17,2.400018e-006,5.001202e-007
18,2.500135e-006,6.000046e-007
19,2.500135e-006,6.000046e-007
20,1.100125e-006,6.998889e-007
21,7.199822e-006,6.998889e-007
22,1.699897e-006,8.998904e-007
23,1.899898e-006,1.000008e-006
24,1.829979e-005,1.000008e-006
25,2.610008e-005,8.998904e-007
26,3.800029e-006,1.000008e-006
27,3.400026e-006,9.997748e-007
28,1.700129e-006,1.100125e-006
29,1.600012e-006,1.200009e-006
30,3.399793e-006,1.200009e-006
31,3.300142e-006,1.200009e-006
32,5.100155e-006,1.299893e-006
33,4.200032e-006,1.499895e-006
34,3.699912e-006,1.400011e-006
35,3.700145e-006,1.400011e-006
36,2.200017e-006,1.600012e-006
37,3.699912e-006,1.599779e-006
38,3.899913e-006,1.699897e-006
39,2.499903e-006,1.699897e-006
40,1.260010e-005,1.800014e-006
41,4.000030e-006,1.800014e-006
42,5.700160e-006,1.899898e-006
43,4.400034e-006,2.000015e-006
44,4.299916e-006,1.899898e-006
45,2.799788e-006,2.099900e-006
46,2.700137e-006,2.099900e-006
47,4.700152e-006,2.200017e-006
48,4.699919e-006,2.299901e-006
49,4.400034e-006,2.300134e-006
50,3.430014e-005,2.400018e-006
51,1.610001e-005,2.400018e-006
52,1.930003e-005,2.500135e-006
53,1.620012e-005,2.400018e-006
54,1.400011e-005,2.600020e-006
55,5.200040e-006,2.599787e-006
56,3.600027e-006,2.700137e-006
57,4.699919e-006,2.700137e-006
58,3.600027e-006,2.699904e-006
59,5.000038e-006,2.900138e-006
60,3.600027e-006,2.899906e-006
61,4.600035e-006,3.099907e-006
62,5.800044e-006,3.099907e-006
63,7.699942e-006,3.099907e-006
