N,worst(secs),best(secs)
1,1.300126e-006,2.998859e-007
2,2.600020e-006,2.998859e-007
3,1.192999e-004,2.000015e-007
4,2.600020e-006,2.998859e-007
5,6.499933e-006,3.997702e-007
6,1.100125e-006,4.000030e-007
7,3.299909e-006,4.998874e-007
8,3.800029e-006,6.000046e-007
9,3.299909e-006,6.000046e-007
10,1.899898e-006,6.998889e-007
11,3.300142e-006,8.000061e-007
12,3.499910e-006,8.000061e-007
13,3.600027e-006,7.997733e-007
14,3.699912e-006,9.001233e-007
15,3.800029e-006,1.000008e-006
16,5.400041e-006,1.099892e-006
17,5.299924e-006,8.998904e-007
18,3.600027e-006,1.000008e-006
19,2.150005e-005,1.400011e-006
20,1.790002e-005,1.099892e-006
21,7.199822e-006,1.499895e-006
22,4.800037e-006,1.699897e-006
23,5.600043e-006,1.700129e-006
24,6.600050e-006,1.800014e-006
25,6.400049e-006,2.000015e-006
26,5.400041e-006,2.100132e-006
27,5.000038e-006,2.200017e-006
28,6.900169e-006,2.400018e-006
29,7.000053e-006,2.299901e-006
30,7.400056e-006,2.599787e-006
31,7.599825e-006,2.700137e-006
32,6.399816e-006,2.800021e-006
33,7.800059e-006,3.000023e-006
34,1.639989e-005,3.200024e-006
35,2.800021e-005,3.200024e-006
36,2.379995e-005,3.800029e-006
37,5.930010e-005,3.099907e-006
38,7.500174e-006,3.299909e-006
39,1.859991e-005,4.099915e-006
40,9.600073e-006,3.999798e-006
41,1.089997e-005,4.399801e-006
42,6.900169e-006,4.600035e-006
43,9.899959e-006,4.499918e-006
44,1.069997e-005,4.999805e-006
45,9.099953e-006,4.699919e-006
46,2.250005e-005,5.099922e-006
47,8.699950e-006,5.499925e-006
48,4.520011e-005,5.899929e-006
49,3.360002e-005,5.899929e-006
50,6.660004e-005,6.299932e-006
51,1.269998e-005,6.400049e-006
52,1.129997e-005,6.400049e-006
53,9.599840e-006,6.600050e-006
54,9.899959e-006,6.899936e-006
55,2.459995e-005,7.300172e-006
56,1.639989e-005,7.099938e-006
57,1.059985e-005,7.499941e-006
58,3.029988e-005,7.899944e-006
59,1.286000e-004,8.699950e-006
60,1.590000e-005,1.069997e-005
61,2.439995e-005,8.499948e-006
62,7.060007e-005,8.100178e-006
63,1.369999e-005,9.000069e-006
64,1.379987e-005,9.200070e-006
65,3.340002e-005,9.899959e-006
66,3.672000e-004,1.269998e-005
67,1.116002e-004,1.139985e-005
68,1.909980e-005,1.060008e-005
69,1.449999e-005,1.089997e-005
70,1.981000e-004,1.129997e-005
71,3.320002e-005,1.140009e-005
72,1.659989e-005,1.140009e-005
73,3.180001e-005,1.239986e-005
74,2.329983e-005,1.229998e-005
75,1.860014e-005,1.229998e-005
76,2.279994e-005,1.300010e-005
77,3.250013e-005,1.320010e-005
78,5.640020e-005,1.380011e-005
79,4.059984e-005,1.399987e-005
80,2.830010e-005,1.389999e-005
81,1.839991e-005,1.449999e-005
82,2.419995e-005,1.499988e-005
83,2.590008e-005,1.510000e-005
84,3.720005e-005,1.640012e-005
85,9.580003e-005,1.650001e-005
86,2.039992e-005,1.630001e-005
87,2.099993e-005,1.630001e-005
88,3.749994e-005,1.680013e-005
89,3.160001e-005,1.739990e-005
90,1.230000e-004,1.819991e-005
91,7.859990e-005,1.779990e-005
92,3.620004e-005,1.810002e-005
93,4.870002e-005,1.899991e-005
94,3.220001e-005,1.909980e-005
95,3.129989e-005,1.919991e-005
96,9.680004e-005,1.940015e-005
97,9.420002e-005,2.070004e-005
98,4.670001e-005,2.029981e-005
99,4.570000e-005,2.049981e-005
100,9.990018e-005,2.229982e-005
101,6.869994e-005,2.200017e-005
102,5.599996e-005,2.160016e-005
103,3.200001e-005,2.230005e-005
104,4.790002e-005,2.299994e-005
105,1.352001e-004,2.339995e-005
106,5.090004e-005,2.369983e-005
107,3.449991e-005,2.470007e-005
108,5.910010e-005,2.439995e-005
109,6.620004e-005,2.559996e-005
110,7.009995e-005,2.559996e-005
111,3.830018e-005,2.479996e-005
112,5.339994e-005,2.639997e-005
113,1.235001e-004,2.889987e-005
114,7.710001e-005,2.740021e-005
115,6.340002e-005,2.759998e-005
116,4.500011e-005,2.839998e-005
117,1.920999e-004,2.819998e-005
118,4.224000e-004,2.950011e-005
119,1.514000e-004,3.109989e-005
120,8.700020e-005,2.969988e-005
121,1.284000e-004,3.220001e-005
122,7.500011e-005,2.939999e-005
123,6.030011e-005,3.160001e-005
124,1.425000e-004,3.220001e-005
125,1.616001e-004,3.240001e-005
126,6.890018e-005,3.340002e-005
127,3.135998e-004,3.249990e-005
128,8.150004e-005,3.480003e-005
129,5.000015e-005,3.460003e-005
130,1.564999e-004,3.549992e-005
131,1.071000e-004,3.500003e-005
132,5.210005e-005,3.649993e-005
133,1.855001e-004,3.689993e-005
134,3.489000e-004,3.829994e-005
135,6.089988e-005,3.759982e-005
136,2.372002e-004,3.780005e-005
137,8.799997e-005,3.829994e-005
138,1.130002e-004,4.000007e-005
139,1.029000e-004,3.969995e-005
140,6.920006e-005,3.909995e-005
141,2.292001e-004,4.180009e-005
142,7.449999e-005,4.119985e-005
143,1.629000e-004,4.319986e-005
144,3.414000e-004,4.220009e-005
145,1.220000e-004,4.380010e-005
146,1.616001e-004,4.429999e-005
147,1.207001e-004,4.509999e-005
148,1.554000e-004,4.560011e-005
149,9.629992e-005,4.550000e-005
150,4.218998e-004,4.600012e-005
151,1.015998e-004,4.690001e-005
152,7.349998e-005,4.750001e-005
153,1.427999e-004,4.650000e-005
154,8.679996e-005,4.850002e-005
155,1.289998e-004,5.049980e-005
156,1.032001e-004,5.059992e-005
157,8.550007e-005,4.960014e-005
158,1.276000e-004,5.160016e-005
159,9.860005e-005,5.199993e-005
160,1.416001e-004,5.290005e-005
161,1.038001e-004,5.409983e-005
162,2.941000e-004,5.310006e-005
163,1.065000e-004,5.360018e-005
164,9.829993e-005,5.530007e-005
165,2.742999e-004,5.650008e-005
166,1.147999e-004,5.690008e-005
167,1.952001e-004,5.749986e-005
168,1.113000e-004,5.979999e-005
169,4.160001e-004,5.849986e-005
170,1.036001e-004,5.939999e-005
171,2.959999e-004,6.060000e-005
172,1.230000e-004,6.160000e-005
173,1.876999e-004,6.210012e-005
174,1.039000e-004,6.080000e-005
175,1.068001e-004,6.320002e-005
176,1.167001e-004,6.349990e-005
177,2.188999e-004,6.270013e-005
178,1.200000e-004,6.419979e-005
179,1.371999e-004,6.619981e-005
180,1.083000e-004,6.629992e-005
181,1.649000e-004,6.649992e-005
182,9.920006e-005,6.739981e-005
183,1.631002e-004,6.730016e-005
184,1.061999e-004,6.829994e-005
185,1.670001e-004,7.000007e-005
186,1.113000e-004,7.170020e-005
187,1.596999e-004,7.170020e-005
188,1.981000e-004,7.140008e-005
189,1.640001e-004,7.300009e-005
190,2.202999e-004,7.389998e-005
191,9.520003e-005,8.180016e-005
192,1.882000e-004,7.509999e-005
193,1.556000e-004,7.660012e-005
194,1.325000e-004,7.509999e-005
195,2.081001e-004,7.760013e-005
196,1.196000e-004,7.790001e-005
197,1.955999e-004,7.900014e-005
198,1.534999e-004,7.950002e-005
199,1.523001e-004,8.120015e-005
200,1.987000e-004,7.979991e-005
201,1.568000e-004,8.419994e-005
202,1.823001e-004,8.290005e-005
203,1.751001e-004,8.119992e-005
204,2.154000e-004,8.539995e-005
205,1.406001e-004,8.619996e-005
206,2.057001e-004,8.789985e-005
207,2.004001e-004,8.460018e-005
208,1.321998e-004,8.969987e-005
209,1.880999e-004,8.719997e-005
210,1.840000e-004,8.930010e-005
211,1.117999e-004,8.859998e-005
212,1.815001e-004,9.220000e-005
213,1.918999e-004,9.250012e-005
214,1.429000e-004,9.350013e-005
215,2.219002e-004,9.329990e-005
216,3.102999e-004,9.649992e-005
217,3.434999e-004,9.780005e-005
218,1.844000e-004,9.849994e-005
219,1.937998e-004,9.940006e-005
220,1.831001e-004,9.680004e-005
221,1.802000e-004,9.740004e-005
222,1.835001e-004,1.000001e-004
223,3.072000e-004,1.009000e-004
224,2.047999e-004,1.035999e-004
225,2.530001e-004,1.023002e-004
226,1.948001e-004,1.037999e-004
227,1.863001e-004,1.057000e-004
228,3.371001e-004,1.047000e-004
229,2.833998e-004,1.058001e-004
230,2.479001e-004,1.093000e-004
231,2.703001e-004,1.085000e-004
232,2.881002e-004,1.111000e-004
233,2.546001e-004,1.202000e-004
234,1.995999e-004,1.113000e-004
235,2.002001e-004,1.139001e-004
236,2.158000e-004,1.149001e-004
237,2.247000e-004,1.157001e-004
238,2.150999e-004,1.162998e-004
239,8.394001e-004,1.154998e-004
240,5.808000e-004,1.190000e-004
241,1.227200e-003,1.216999e-004
242,3.122000e-004,1.247001e-004
243,8.866999e-004,1.212999e-004
244,6.097001e-004,1.228000e-004
245,3.444999e-004,1.260999e-004
246,3.996000e-004,1.249001e-004
247,5.892001e-004,1.238000e-004
248,4.671002e-004,1.300001e-004
249,5.034001e-004,1.261001e-004
250,1.666000e-003,1.757001e-004
251,9.962001e-004,1.284999e-004
252,2.164900e-003,1.298999e-004
253,3.210000e-003,1.329000e-004
254,1.085500e-003,1.339000e-004
255,1.257300e-003,1.375000e-004
256,1.482100e-003,1.394001e-004
257,5.236000e-004,1.327002e-004
258,5.001000e-004,1.370001e-004
259,4.254000e-004,1.359999e-004
260,2.893000e-004,1.395000e-004
261,2.555000e-004,1.381000e-004
262,4.222000e-004,1.391000e-004
263,4.720001e-004,1.387999e-004
264,2.476999e-004,1.401999e-004
265,3.293001e-004,1.452998e-004
266,2.965999e-004,1.457001e-004
267,2.604001e-004,1.468000e-004
268,3.448001e-004,1.482000e-004
269,2.439001e-004,1.487001e-004
270,2.726002e-004,1.501001e-004
271,2.554001e-004,1.484000e-004
272,2.504000e-004,1.519001e-004
273,2.844001e-004,1.542000e-004
274,2.516999e-004,1.549998e-004
275,3.271999e-004,1.524999e-004
276,2.563999e-004,1.562999e-004
277,2.528999e-004,1.559001e-004
278,2.895999e-004,1.587002e-004
279,3.108000e-004,1.572999e-004
280,2.941999e-004,1.584999e-004
281,2.571000e-004,1.607002e-004
282,3.582998e-004,1.619002e-004
283,3.376999e-004,1.631002e-004
284,2.827002e-004,1.644001e-004
285,2.872001e-004,1.671000e-004
286,2.446999e-004,1.647000e-004
287,3.012000e-004,1.701000e-004
288,3.956000e-004,1.682001e-004
289,4.383002e-004,1.681000e-004
290,2.719001e-004,1.665000e-004
291,3.346000e-004,1.735999e-004
292,3.146001e-004,1.738002e-004
293,3.964000e-004,1.780000e-004
294,2.823998e-004,1.767999e-004
295,3.510001e-004,1.768998e-004
296,3.174001e-004,1.778002e-004
297,3.469998e-004,1.802000e-004
298,3.500001e-004,1.769001e-004
299,2.828999e-004,1.844000e-004
300,3.792001e-004,1.850000e-004
301,3.137002e-004,1.873001e-004
302,3.555000e-004,1.894999e-004
303,3.920002e-004,1.830000e-004
304,5.162000e-004,1.874000e-004
305,5.505001e-004,1.927998e-004
306,3.566002e-004,1.890000e-004
307,3.775998e-004,1.953999e-004
308,3.553999e-004,1.965000e-004
309,3.445002e-004,1.925000e-004
310,6.134999e-004,1.926001e-004
311,3.519000e-004,1.995000e-004
312,3.828998e-004,1.995000e-004
313,4.117000e-004,2.013000e-004
314,3.257000e-004,2.003999e-004
315,4.670999e-004,1.998001e-004
316,3.547000e-004,2.054002e-004
317,3.469000e-004,2.003000e-004
318,3.467000e-004,2.051999e-004
319,3.895999e-004,2.102999e-004
320,3.462001e-004,2.093001e-004
321,3.384000e-004,2.108999e-004
322,3.899001e-004,2.100002e-004
323,3.581000e-004,2.133001e-004
324,3.238001e-004,2.156000e-004
325,3.343001e-004,2.139001e-004
326,3.619001e-004,2.158999e-004
327,5.613000e-004,2.188999e-004
328,3.560998e-004,2.178000e-004
329,3.660000e-004,2.220999e-004
330,3.986999e-004,2.198000e-004
331,1.394900e-003,2.257999e-004
332,5.235001e-004,2.259999e-004
333,3.702000e-004,2.252001e-004
334,3.609001e-004,2.267000e-004
335,4.581001e-004,2.253999e-004
336,3.752001e-004,2.334001e-004
337,3.805000e-004,2.299999e-004
338,3.523999e-004,2.259999e-004
339,3.433998e-004,2.359999e-004
340,4.097999e-004,2.396002e-004
341,3.612998e-004,2.400000e-004
342,4.560000e-004,2.390998e-004
343,4.175999e-004,2.406000e-004
344,5.299000e-004,2.446000e-004
345,3.810001e-004,2.448000e-004
346,4.048999e-004,2.426999e-004
347,3.910002e-004,2.476000e-004
348,4.159000e-004,2.510000e-004
349,4.135000e-004,2.527002e-004
350,3.891001e-004,2.512999e-004
351,4.733002e-004,2.472999e-004
352,3.936000e-004,2.579000e-004
353,4.181000e-004,2.565000e-004
354,4.517001e-004,2.542001e-004
355,4.312000e-004,2.595999e-004
356,3.895999e-004,2.639000e-004
357,4.000000e-004,2.608001e-004
358,4.777999e-004,2.621999e-004
359,3.875000e-004,2.625999e-004
360,5.418998e-004,2.655000e-004
361,4.284999e-004,2.659999e-004
362,4.218000e-004,2.671999e-004
363,3.941001e-004,2.752000e-004
364,4.729000e-004,2.721001e-004
365,4.093002e-004,2.724999e-004
366,5.894001e-004,2.774000e-004
367,5.000001e-004,2.796000e-004
368,4.519999e-004,2.753001e-004
369,4.828000e-004,2.788000e-004
370,5.426002e-004,2.837998e-004
371,4.552000e-004,2.806999e-004
372,4.238000e-004,2.844001e-004
373,4.930000e-004,2.851000e-004
374,4.453999e-004,2.888001e-004
375,4.839001e-004,2.893999e-004
376,4.663002e-004,2.889999e-004
377,4.355998e-004,2.951999e-004
378,4.447000e-004,2.957000e-004
379,4.281001e-004,2.942001e-004
380,5.059999e-004,2.959000e-004
381,4.904000e-004,2.979001e-004
382,4.496002e-004,2.997001e-004
383,4.753000e-004,2.994000e-004
384,5.455001e-004,3.010000e-004
385,4.765000e-004,3.041001e-004
386,6.653999e-004,3.065001e-004
387,4.749000e-004,3.059001e-004
388,5.116002e-004,3.105998e-004
389,5.095999e-004,3.088999e-004
390,4.621998e-004,3.126999e-004
391,4.583001e-004,3.154001e-004
392,4.847001e-004,3.201999e-004
393,4.458001e-004,3.157000e-004
394,7.102999e-004,3.222001e-004
395,5.389000e-004,3.251999e-004
396,4.886000e-004,3.169000e-004
397,4.888999e-004,3.253999e-004
398,5.544000e-004,3.298000e-004
399,6.362000e-004,3.300000e-004
400,4.954000e-004,3.217999e-004
401,5.214000e-004,3.328000e-004
402,5.004001e-004,3.346999e-004
403,4.832000e-004,3.372999e-004
404,5.394001e-004,3.342000e-004
405,4.932000e-004,3.358000e-004
406,5.442000e-004,3.404000e-004
407,5.204000e-004,3.433002e-004
408,5.033000e-004,3.430999e-004
409,5.663999e-004,3.479000e-004
410,7.915001e-004,3.490001e-004
411,4.740001e-004,3.412999e-004
412,5.071999e-004,3.437998e-004
413,6.625000e-004,3.557999e-004
414,5.169001e-004,3.547999e-004
415,5.965000e-004,3.565999e-004
416,5.708998e-004,3.573000e-004
417,5.253002e-004,3.616002e-004
418,5.870000e-004,3.626000e-004
419,5.338001e-004,3.599999e-004
420,5.966001e-004,3.654000e-004
421,6.218001e-004,3.652000e-004
422,7.185000e-004,3.662999e-004
423,5.637999e-004,3.641001e-004
424,5.464999e-004,3.722000e-004
425,5.993000e-004,3.716000e-004
426,5.601000e-004,3.728999e-004
427,5.512999e-004,3.746001e-004
428,5.674001e-004,3.791999e-004
429,6.037999e-004,3.851000e-004
430,6.247000e-004,3.846001e-004
431,5.748998e-004,3.905001e-004
432,5.626001e-004,3.901001e-004
433,6.599000e-004,3.867999e-004
434,5.633000e-004,3.881999e-004
435,6.186999e-004,3.868998e-004
436,5.365000e-004,3.950000e-004
437,5.820999e-004,4.007001e-004
438,6.593999e-004,4.005001e-004
439,6.943000e-004,4.071000e-004
440,6.141001e-004,3.958000e-004
441,5.993999e-004,4.038000e-004
442,7.036000e-004,4.024000e-004
443,5.916001e-004,4.049998e-004
444,6.231999e-004,4.111000e-004
445,6.150000e-004,4.075002e-004
446,6.737001e-004,4.044001e-004
447,6.176999e-004,4.181999e-004
448,6.256001e-004,4.136001e-004
449,6.259999e-004,4.218000e-004
450,6.140000e-004,4.084001e-004
451,6.118000e-004,4.274000e-004
452,6.569999e-004,4.171000e-004
453,6.098999e-004,4.185000e-004
454,6.575999e-004,4.270000e-004
455,6.752999e-004,4.328999e-004
456,6.616998e-004,4.231001e-004
457,6.585000e-004,4.312000e-004
458,7.174001e-004,4.381000e-004
459,6.144999e-004,4.365998e-004
460,6.945000e-004,4.286000e-004
461,6.118000e-004,4.433000e-004
462,6.267000e-004,4.468001e-004
463,6.919000e-004,4.463999e-004
464,6.476999e-004,4.461000e-004
465,6.358998e-004,4.447000e-004
466,7.379998e-004,4.458001e-004
467,6.504999e-004,4.530002e-004
468,7.088000e-004,4.511001e-004
469,6.291000e-004,4.546000e-004
470,6.680000e-004,4.557001e-004
471,7.471000e-004,4.515999e-004
472,7.494001e-004,4.644000e-004
473,6.869000e-004,4.614999e-004
474,7.554998e-004,4.668999e-004
475,6.838001e-004,4.690001e-004
476,6.826001e-004,4.673998e-004
477,7.137000e-004,4.691000e-004
478,6.552001e-004,4.753000e-004
479,6.857000e-004,4.747999e-004
480,7.096000e-004,4.778001e-004
481,6.902001e-004,4.785999e-004
482,6.835000e-004,4.785999e-004
483,6.782999e-004,4.838998e-004
484,6.438000e-004,4.840000e-004
485,7.596000e-004,4.896999e-004
486,7.213000e-004,4.916999e-004
487,7.171000e-004,4.928999e-004
488,7.400000e-004,4.920000e-004
489,6.753001e-004,4.904999e-004
490,7.296000e-004,4.999000e-004
491,7.541000e-004,4.968001e-004
492,7.431000e-004,5.077000e-004
493,7.165000e-004,5.009000e-004
494,7.918002e-004,5.127001e-004
495,7.139000e-004,5.150000e-004
496,7.301001e-004,5.107999e-004
497,7.209000e-004,5.128998e-004
498,8.948999e-004,5.103000e-004
499,7.685001e-004,5.127999e-004
500,7.664000e-004,5.276001e-004
