N,worst(secs),best(secs)
1,4.000030e-007,0.000000e+000
2,1.001172e-007,0.000000e+000
3,2.000015e-007,0.000000e+000
4,1.699897e-006,0.000000e+000
5,1.600012e-006,9.988435e-008
6,3.001187e-007,9.988435e-008
7,4.000030e-007,9.988435e-008
8,4.998874e-007,1.001172e-007
9,1.800014e-006,2.000015e-007
10,2.099900e-006,2.000015e-007
11,2.000015e-006,2.000015e-007
12,1.900131e-006,2.998859e-007
13,2.000015e-006,2.998859e-007
14,2.200017e-006,4.000030e-007
15,2.099900e-006,4.998874e-007
16,2.500135e-006,4.998874e-007
17,2.400018e-006,4.998874e-007
18,2.600020e-006,6.000046e-007
19,2.699904e-006,6.998889e-007
20,2.800021e-006,7.001217e-007
21,2.800021e-006,8.998904e-007
22,4.700152e-006,8.998904e-007
23,2.900138e-006,9.001233e-007
24,3.200024e-006,1.000008e-006
25,1.160009e-005,1.199776e-006
26,1.800014e-006,1.200009e-006
27,2.600020e-006,1.499895e-006
28,2.050004e-005,1.399778e-006
29,1.419988e-005,1.499895e-006
30,2.700021e-005,1.699897e-006
31,2.519996e-005,1.699897e-006
32,4.400034e-006,1.800014e-006
33,4.300149e-006,1.899898e-006
34,5.799811e-006,2.000015e-006
35,5.799811e-006,2.099900e-006
36,5.000038e-006,2.200017e-006
37,6.199814e-006,2.299901e-006
38,4.999805e-006,2.399785e-006
39,6.400049e-006,2.600020e-006
40,4.899921e-006,2.699904e-006
41,5.100155e-006,2.800021e-006
42,6.800052e-006,2.799788e-006
43,1.820014e-005,3.000023e-006
44,5.800044e-006,3.099907e-006
45,6.899936e-006,3.200024e-006
46,5.800044e-006,3.299909e-006
47,1.780014e-005,3.800029e-006
48,2.779998e-005,3.899913e-006
49,2.610008e-005,3.799796e-006
50,5.600043e-006,3.899913e-006
51,1.879991e-005,4.099915e-006
52,7.299939e-006,4.200032e-006
53,7.399824e-006,4.299916e-006
54,6.900169e-006,4.499918e-006
55,1.760013e-005,4.599802e-006
56,7.400056e-006,4.800037e-006
57,8.999836e-006,5.000038e-006
58,7.500174e-006,5.099922e-006
59,8.399831e-006,5.399808e-006
60,5.090004e-005,5.199807e-006
61,2.170005e-005,5.699927e-006
62,9.499956e-006,5.699927e-006
63,1.040008e-005,5.899929e-006
64,8.899951e-006,6.099930e-006
65,1.570000e-005,6.300164e-006
66,5.919999e-005,6.600050e-006
67,1.100008e-005,6.600050e-006
68,1.009996e-005,7.000053e-006
69,1.159986e-005,6.999820e-006
70,7.720012e-005,7.800059e-006
71,4.040007e-005,7.599825e-006
72,7.139985e-005,8.200062e-006
73,5.120016e-005,7.799827e-006
74,1.149997e-005,8.099945e-006
75,1.249998e-005,8.199830e-006
76,1.249998e-005,8.299947e-006
77,3.769994e-005,8.699950e-006
78,2.949988e-005,8.899951e-006
79,1.300010e-005,8.999836e-006
80,2.570008e-005,9.199837e-006
81,1.269998e-005,9.299954e-006
82,1.220009e-005,9.599840e-006
83,1.229998e-005,9.899959e-006
84,1.289998e-005,1.000008e-005
85,1.349999e-005,1.030019e-005
86,6.240001e-005,1.069997e-005
87,7.770001e-005,1.080008e-005
88,2.659997e-005,1.109997e-005
89,1.259986e-005,1.120009e-005
90,1.470000e-005,1.129997e-005
91,1.440011e-005,1.180009e-005
92,1.620012e-005,1.199986e-005
93,1.690001e-005,1.219986e-005
94,8.039991e-005,1.249998e-005
95,5.579996e-005,1.249998e-005
96,1.980015e-005,1.289998e-005
97,1.590000e-005,1.309998e-005
98,1.750002e-005,1.339987e-005
99,1.630001e-005,1.379987e-005
100,2.890010e-005,1.389999e-005
101,6.510015e-005,1.400011e-005
102,5.450007e-005,1.439988e-005
103,1.780014e-005,1.470000e-005
104,1.990004e-005,1.500011e-005
105,2.059992e-005,1.530000e-005
106,2.050004e-005,1.520012e-005
107,1.960015e-005,1.570000e-005
108,1.040001e-004,1.630001e-005
109,6.120000e-005,1.630001e-005
110,2.150005e-005,1.639989e-005
111,2.489984e-005,1.690001e-005
112,2.950011e-005,1.720013e-005
113,2.170005e-005,1.730002e-005
114,5.319994e-005,1.770002e-005
115,5.190005e-005,1.819991e-005
116,2.359995e-005,1.820014e-005
117,2.339995e-005,1.870003e-005
118,2.350006e-005,1.879991e-005
119,2.230005e-005,1.930003e-005
120,7.249997e-005,1.959992e-005
121,5.150004e-005,1.990004e-005
122,3.329990e-005,2.020015e-005
123,2.539996e-005,2.039992e-005
124,2.489984e-005,2.080016e-005
125,2.429984e-005,2.099993e-005
126,5.500019e-005,2.150005e-005
127,4.349998e-005,2.159993e-005
128,2.830010e-005,2.189982e-005
129,2.530008e-005,2.210005e-005
130,2.589985e-005,2.259994e-005
131,5.950010e-005,2.290006e-005
132,8.639996e-005,2.339995e-005
133,4.069996e-005,2.350006e-005
134,3.209990e-005,2.389983e-005
135,6.030011e-005,2.429984e-005
136,8.229981e-005,2.459995e-005
137,3.089989e-005,2.499996e-005
138,3.200001e-005,2.519996e-005
139,2.819998e-005,2.570008e-005
140,7.380010e-005,2.609985e-005
141,5.699997e-005,2.869987e-005
142,5.819998e-005,2.679997e-005
143,3.400003e-005,2.719997e-005
144,3.320002e-005,2.739998e-005
145,7.760013e-005,2.799998e-005
146,5.979999e-005,2.839998e-005
147,3.449991e-005,2.859998e-005
148,4.590000e-005,2.889987e-005
149,5.259993e-005,2.930011e-005
150,5.610008e-005,2.949988e-005
151,3.640004e-005,2.990011e-005
152,3.579981e-005,3.030011e-005
153,8.470006e-005,3.089989e-005
154,5.959999e-005,3.109989e-005
155,4.910002e-005,3.140001e-005
156,3.540004e-005,3.160001e-005
157,8.799997e-005,3.230013e-005
158,6.299978e-005,3.280002e-005
159,4.369998e-005,3.320002e-005
160,3.900006e-005,3.330014e-005
161,6.760005e-005,3.400003e-005
162,6.200001e-005,3.409991e-005
163,1.982001e-004,3.469991e-005
164,6.820005e-005,3.499980e-005
165,1.252999e-004,3.549992e-005
166,1.264999e-004,3.589992e-005
167,7.029995e-005,3.629993e-005
168,4.790002e-005,3.669993e-005
169,4.509999e-005,3.700005e-005
170,1.536999e-004,3.759982e-005
171,4.129997e-005,3.789994e-005
172,4.319986e-005,3.839983e-005
173,1.034001e-004,3.880006e-005
174,6.250013e-005,3.920007e-005
175,4.329998e-005,3.969995e-005
176,7.679989e-005,4.000007e-005
177,1.595998e-004,4.080008e-005
178,5.149981e-005,4.100008e-005
179,9.300001e-005,4.139985e-005
180,1.272000e-004,4.190020e-005
181,5.050004e-005,4.209997e-005
182,1.841001e-004,4.269998e-005
183,5.730009e-005,4.309998e-005
184,6.280001e-005,4.340010e-005
185,9.620003e-005,4.369998e-005
186,8.319994e-005,4.459987e-005
187,5.179993e-005,4.489999e-005
188,8.150004e-005,4.530000e-005
189,1.331999e-004,4.599988e-005
190,5.549984e-005,4.619989e-005
191,1.504999e-004,4.650000e-005
192,5.639996e-005,4.750001e-005
193,8.410006e-005,4.739990e-005
194,7.469999e-005,4.799990e-005
195,5.999999e-005,4.859990e-005
196,1.222000e-004,4.899991e-005
197,5.830009e-005,4.950003e-005
198,6.129988e-005,4.960014e-005
199,1.683000e-004,5.050004e-005
200,6.210012e-005,5.110004e-005
201,1.461999e-004,5.159993e-005
202,1.072001e-004,5.199993e-005
203,6.720005e-005,5.259993e-005
204,1.368001e-004,5.270005e-005
205,6.369990e-005,5.359994e-005
