N,worst(secs),best(secs)
1,4.000030e-007,0.000000e+000
2,1.001172e-007,0.000000e+000
3,2.000015e-007,0.000000e+000
4,2.000015e-007,0.000000e+000
5,8.000061e-007,0.000000e+000
6,4.000030e-007,9.988435e-008
7,1.900131e-006,9.988435e-008
8,1.800014e-006,9.988435e-008
9,4.000030e-007,2.000015e-007
10,3.200024e-006,1.997687e-007
11,2.000015e-006,2.000015e-007
12,8.000061e-007,2.998859e-007
13,8.998904e-007,2.998859e-007
14,8.998904e-007,4.000030e-007
15,2.300134e-006,4.998874e-007
16,2.899906e-006,4.998874e-007
17,2.500135e-006,6.000046e-007
18,1.200009e-006,6.998889e-007
19,3.299909e-006,6.998889e-007
20,1.400011e-006,8.000061e-007
21,1.470000e-005,9.001233e-007
22,2.090004e-005,1.000008e-006
23,2.599997e-005,1.299893e-006
24,4.099915e-006,1.000008e-006
25,3.400026e-006,1.200009e-006
26,3.699912e-006,1.299893e-006
27,3.800029e-006,1.400011e-006
28,4.300149e-006,1.400011e-006
29,2.799788e-006,1.499895e-006
30,4.500151e-006,1.600012e-006
31,2.800021e-006,1.800014e-006
32,4.800037e-006,1.800014e-006
33,3.200024e-006,2.000015e-006
34,5.099922e-006,2.099900e-006
35,6.500166e-006,2.200017e-006
36,4.499918e-006,2.400018e-006
37,4.999805e-006,2.300134e-006
38,3.899913e-006,2.600020e-006
39,6.099930e-006,2.700137e-006
40,4.200032e-006,2.700137e-006
41,4.500151e-006,3.000023e-006
42,5.799811e-006,3.000023e-006
43,8.399831e-006,3.400026e-006
44,5.200040e-006,3.600027e-006
45,3.689993e-005,3.600027e-006
46,1.790002e-005,4.000030e-006
47,1.049996e-005,4.199799e-006
48,7.400056e-006,3.899913e-006
49,8.999836e-006,4.299916e-006
50,1.690001e-005,4.500151e-006
51,9.099953e-006,4.600035e-006
52,7.600058e-006,4.800037e-006
53,1.009996e-005,4.899921e-006
54,8.499948e-006,4.999805e-006
55,1.189997e-005,5.699927e-006
56,1.140009e-005,7.200055e-006
57,2.429984e-005,6.400049e-006
58,3.989995e-005,5.899929e-006
59,5.730009e-005,6.400049e-006
60,5.429983e-005,8.199830e-006
61,1.389999e-005,8.400064e-006
62,1.840014e-005,8.299947e-006
63,1.439988e-005,8.099945e-006
64,6.750000e-004,8.500181e-006
65,1.219986e-005,7.499941e-006
66,2.599997e-005,7.800059e-006
67,2.399995e-005,7.800059e-006
68,2.280017e-005,8.099945e-006
69,1.619989e-005,7.899944e-006
70,3.300002e-005,8.400064e-006
71,1.329998e-005,8.799834e-006
72,1.590000e-005,8.699950e-006
73,3.250013e-005,9.399839e-006
74,5.179993e-005,9.800075e-006
75,1.530000e-005,9.699957e-006
76,1.730002e-005,1.029996e-005
77,2.579996e-005,1.069997e-005
78,1.449999e-005,1.089997e-005
79,1.860014e-005,1.069997e-005
80,1.699990e-005,1.040008e-005
81,1.797001e-004,1.179986e-005
82,5.930010e-005,1.240009e-005
83,2.730009e-005,1.170021e-005
84,6.140000e-005,1.229998e-005
85,1.790002e-005,1.290021e-005
86,1.859991e-005,1.260010e-005
87,1.959992e-005,1.189997e-005
88,4.910002e-005,1.299987e-005
89,7.009995e-005,1.379987e-005
90,4.040007e-005,1.449999e-005
91,2.099993e-005,1.440011e-005
92,2.170005e-005,1.470000e-005
93,3.249990e-005,1.519988e-005
94,6.689993e-005,1.460011e-005
95,1.794002e-004,1.550000e-005
96,2.319994e-005,1.570000e-005
97,2.199993e-005,1.600012e-005
98,3.730017e-005,1.630001e-005
99,2.170005e-005,1.660013e-005
100,8.999999e-005,1.870003e-005
101,5.759997e-005,1.730002e-005
102,2.539996e-005,1.779990e-005
103,8.359994e-005,1.870003e-005
104,2.339995e-005,1.890003e-005
105,1.364001e-004,1.860014e-005
106,6.919983e-005,1.920015e-005
107,2.729986e-005,1.780014e-005
108,2.630008e-005,1.999992e-005
109,2.599997e-005,2.089981e-005
110,5.599996e-005,2.020015e-005
111,4.339986e-005,1.979992e-005
112,7.329998e-005,2.170005e-005
113,2.779998e-005,2.199993e-005
114,4.079985e-005,2.179993e-005
115,1.157001e-004,2.210005e-005
116,5.160016e-005,2.290006e-005
117,3.280002e-005,2.350006e-005
118,3.279978e-005,2.279994e-005
119,4.969980e-005,2.370006e-005
120,1.494000e-004,2.490007e-005
121,4.890002e-005,2.389983e-005
122,3.570016e-005,2.569985e-005
123,5.210005e-005,2.610008e-005
124,1.125000e-004,2.580020e-005
125,6.589992e-005,2.620020e-005
126,7.840013e-005,2.610008e-005
127,3.620004e-005,2.549984e-005
128,8.030003e-005,2.830010e-005
129,3.840006e-005,2.869987e-005
130,4.990003e-005,2.879999e-005
131,1.218999e-004,2.990011e-005
132,8.350005e-005,3.009988e-005
133,7.999991e-005,2.839998e-005
134,1.260999e-004,3.029988e-005
135,9.540003e-005,3.100000e-005
136,4.440011e-005,3.089989e-005
137,5.000015e-005,3.169989e-005
138,1.893002e-004,3.130012e-005
139,7.660012e-005,3.209990e-005
140,1.440002e-004,3.310014e-005
141,2.545002e-004,3.460003e-005
142,7.700012e-005,3.500003e-005
143,1.196000e-004,3.429991e-005
144,1.039999e-004,3.460003e-005
145,1.919002e-004,3.639981e-005
146,1.089000e-004,3.490015e-005
147,7.890002e-005,3.700005e-005
148,7.279986e-005,3.680005e-005
149,1.129999e-004,3.680005e-005
150,9.820005e-005,3.689993e-005
151,7.499987e-005,3.849994e-005
152,2.279000e-004,3.900006e-005
153,1.277998e-004,3.789994e-005
154,6.629992e-005,3.869995e-005
155,3.562002e-004,4.239986e-005
156,8.350005e-005,4.159985e-005
157,1.158000e-004,4.079985e-005
158,1.152002e-004,4.140008e-005
159,5.649985e-005,4.189997e-005
160,1.107000e-004,4.329998e-005
161,8.080015e-005,4.309998e-005
162,1.139001e-004,4.169997e-005
163,2.484000e-004,4.540011e-005
164,5.399995e-005,4.309998e-005
165,7.680012e-005,4.499988e-005
166,1.275998e-004,4.670001e-005
167,7.560011e-005,4.489999e-005
168,1.466000e-004,4.720013e-005
169,1.113000e-004,4.750001e-005
170,8.809986e-005,4.750001e-005
171,1.641000e-004,5.080015e-005
172,7.720012e-005,4.910002e-005
173,1.313000e-004,4.849979e-005
174,1.850000e-004,5.079992e-005
175,1.227001e-004,4.890002e-005
176,1.278999e-004,4.959991e-005
177,2.633999e-004,5.220016e-005
178,9.889994e-005,5.390006e-005
179,1.379999e-004,5.230005e-005
180,9.400002e-005,5.359994e-005
181,1.839998e-004,5.270005e-005
182,1.177001e-004,5.649985e-005
183,1.351000e-004,5.559996e-005
184,1.659000e-004,5.639996e-005
185,8.939998e-005,5.550007e-005
186,1.424002e-004,5.859998e-005
187,1.007998e-004,5.869986e-005
188,1.760002e-004,5.729985e-005
189,9.720004e-005,5.999999e-005
190,1.238000e-004,6.070011e-005
191,1.077000e-004,5.950010e-005
192,1.483001e-004,5.749986e-005
193,1.017998e-004,6.129988e-005
194,2.562001e-004,6.249989e-005
195,1.095000e-004,6.400002e-005
196,2.092000e-004,6.240001e-005
197,1.160000e-004,6.420002e-005
198,1.481001e-004,6.500003e-005
199,1.125999e-004,6.480003e-005
200,1.596999e-004,6.629992e-005
201,1.179001e-004,6.559980e-005
202,3.496001e-004,6.489991e-005
203,1.482000e-004,6.840006e-005
204,1.048001e-004,6.759982e-005
205,1.312001e-004,6.720005e-005
