N,worst(secs),best(secs)
1,2.998859e-007,0.000000e+000
2,3.001187e-007,0.000000e+000
3,1.001172e-007,0.000000e+000
4,2.000015e-007,0.000000e+000
5,2.000015e-007,0.000000e+000
6,1.500128e-006,9.988435e-008
7,3.001187e-007,9.988435e-008
8,1.700129e-006,9.988435e-008
9,1.900131e-006,9.988435e-008
10,1.800014e-006,1.997687e-007
11,6.998889e-007,2.000015e-007
12,1.800014e-006,2.998859e-007
13,1.900131e-006,2.998859e-007
14,1.800014e-006,2.998859e-007
15,8.000061e-007,2.998859e-007
16,2.000015e-006,4.000030e-007
17,2.300134e-006,4.000030e-007
18,2.200017e-006,4.998874e-007
19,2.299901e-006,4.998874e-007
20,2.300134e-006,6.000046e-007
21,1.000008e-006,6.000046e-007
22,2.500135e-006,6.000046e-007
23,2.600020e-006,6.998889e-007
24,2.600020e-006,6.998889e-007
25,2.699904e-006,8.000061e-007
26,2.800021e-006,8.000061e-007
27,2.900138e-006,8.000061e-007
28,2.800021e-006,8.998904e-007
29,5.299924e-006,8.998904e-007
30,3.000023e-006,1.099892e-006
31,2.900138e-006,1.099892e-006
32,3.299909e-006,1.200009e-006
33,3.300142e-006,1.200009e-006
34,4.000030e-006,1.200009e-006
35,1.500011e-005,1.400011e-006
36,1.819991e-005,1.399778e-006
37,3.200024e-006,1.400011e-006
38,4.399801e-006,1.499895e-006
39,2.100132e-006,1.499895e-006
40,2.000015e-006,1.600012e-006
41,4.000030e-006,1.600012e-006
42,4.000030e-006,1.699897e-006
43,3.899913e-006,1.699897e-006
44,4.099915e-006,1.799781e-006
45,5.600043e-006,1.800014e-006
46,5.400041e-006,1.899898e-006
47,4.099915e-006,2.000015e-006
48,4.400034e-006,1.999782e-006
49,3.499910e-006,1.899898e-006
50,4.200032e-006,2.200017e-006
51,4.700152e-006,2.100132e-006
52,5.900161e-006,2.299901e-006
53,4.800037e-006,2.200017e-006
54,4.899921e-006,2.399785e-006
55,5.099922e-006,2.299901e-006
56,4.699919e-006,2.400018e-006
57,3.409991e-005,2.400018e-006
58,1.659989e-005,2.600020e-006
59,5.999813e-006,2.899906e-006
60,3.600027e-006,2.699904e-006
61,6.700167e-006,2.899906e-006
62,5.299924e-006,2.800021e-006
63,4.300149e-006,2.899906e-006
64,3.699912e-006,2.999790e-006
65,7.000053e-006,3.100140e-006
66,5.200040e-006,3.200024e-006
67,5.899929e-006,3.099907e-006
68,7.100170e-006,3.299909e-006
69,6.699935e-006,3.400026e-006
70,1.119985e-005,3.400026e-006
71,5.299924e-006,4.000030e-006
