N,time(tics),time(secs)
1,1.000008e-007,0.000000e+000
2,1.000008e-007,0.000000e+000
3,2.000015e-007,0.000000e+000
4,2.000015e-007,0.000000e+000
5,3.000023e-007,0.000000e+000
6,4.000030e-007,1.000008e-007
7,5.000038e-007,1.000008e-007
8,6.000046e-007,2.000015e-007
9,6.000046e-007,2.000015e-007
10,7.999770e-007,2.999732e-007
11,8.000061e-007,3.000023e-007
12,1.200009e-006,3.999739e-007
13,1.100008e-006,5.999755e-007
14,1.200009e-006,6.000046e-007
15,1.599983e-006,8.000061e-007
16,1.499982e-006,7.999770e-007
17,1.500011e-006,9.999785e-007
18,1.800014e-006,9.999785e-007
19,4.100002e-006,1.100008e-006
20,4.400004e-006,1.100008e-006
21,4.400004e-006,1.200009e-006
22,5.100010e-006,1.400011e-006
23,5.000009e-006,1.499982e-006
24,5.300011e-006,1.599983e-006
25,5.400012e-006,2.000015e-006
26,7.600000e-006,2.100016e-006
27,6.200018e-006,2.299988e-006
28,5.199981e-006,2.399989e-006
29,4.200003e-006,2.699991e-006
30,7.199997e-006,2.899993e-006
31,1.970000e-005,3.299996e-006
32,7.299997e-006,3.199995e-006
33,6.200018e-006,4.100002e-006
34,1.310001e-005,3.900001e-006
35,8.000003e-006,4.300004e-006
36,1.060002e-005,4.200003e-006
37,8.999981e-006,4.700007e-006
38,1.429999e-005,4.800007e-006
39,1.039999e-005,4.999980e-006
40,1.108400e-003,5.699985e-006
41,4.699998e-005,5.400012e-006
42,1.233000e-004,5.799986e-006
43,9.950000e-005,6.000017e-006
44,1.319998e-005,6.300019e-006
45,3.570001e-005,6.899994e-006
46,1.240001e-005,6.100017e-006
47,4.930000e-005,7.600000e-006
48,6.359999e-005,7.899973e-006
49,1.459999e-005,7.700000e-006
50,1.409999e-005,8.100003e-006
51,1.480000e-005,8.400006e-006
52,1.160000e-005,8.399977e-006
53,1.490000e-005,9.599986e-006
54,1.126000e-004,9.399984e-006
55,2.920002e-005,9.899988e-006
56,1.620001e-005,1.000002e-005
57,1.819999e-005,1.039999e-005
58,1.829999e-005,1.090000e-005
59,2.199999e-005,1.120000e-005
60,1.890000e-005,1.130000e-005
61,5.520001e-005,1.209998e-005
62,7.820001e-005,1.329998e-005
63,2.079998e-005,1.299998e-005
64,2.199999e-005,1.310001e-005
65,2.389998e-005,1.289998e-005
66,2.160002e-005,1.490000e-005
67,8.870001e-005,1.390002e-005
68,8.400000e-005,1.480000e-005
69,2.860001e-005,1.490000e-005
70,3.060000e-005,1.560000e-005
71,2.000001e-005,1.550000e-005
72,2.520002e-005,1.659998e-005
73,1.124000e-004,1.639998e-005
74,6.500000e-005,1.799999e-005
75,2.839998e-005,1.870000e-005
76,3.160001e-005,1.910000e-005
77,2.340000e-005,1.910000e-005
78,9.619998e-005,2.040001e-005
79,4.839999e-005,2.080001e-005
