N,worst(secs),best(secs)
1,2.000015e-007,0.000000e+000
2,2.000015e-007,0.000000e+000
3,5.000038e-007,0.000000e+000
4,1.999986e-006,0.000000e+000
5,6.000046e-007,9.997166e-008
6,6.000046e-007,1.000008e-007
7,1.689998e-005,1.999724e-007
8,4.390001e-005,2.999732e-007
9,7.999770e-007,2.000015e-007
10,8.000061e-007,3.000023e-007
11,8.000061e-007,4.000030e-007
12,9.000069e-007,5.000038e-007
13,1.199980e-006,4.000030e-007
14,1.300010e-006,6.000046e-007
15,2.899993e-006,6.999762e-007
16,3.099995e-006,7.000053e-007
17,3.199995e-006,6.000046e-007
18,3.299996e-006,7.999770e-007
19,1.700013e-006,1.099979e-006
20,1.600012e-006,8.999777e-007
21,1.799985e-006,8.999777e-007
22,3.699999e-006,1.099979e-006
23,3.800000e-006,1.100008e-006
24,2.599991e-006,1.300010e-006
25,2.199988e-006,1.500011e-006
26,2.299988e-006,1.400011e-006
27,2.400018e-006,1.600012e-006
28,4.400004e-006,1.400011e-006
29,4.400004e-006,1.499982e-006
30,2.700021e-006,1.900014e-006
31,2.800021e-006,1.999986e-006
32,2.700021e-006,2.000015e-006
33,2.999994e-006,2.099987e-006
34,3.099995e-006,1.999986e-006
35,4.700007e-006,1.899985e-006
36,5.000009e-006,2.299988e-006
37,5.200010e-006,2.000015e-006
38,3.800000e-006,2.599991e-006
39,5.500013e-006,2.299988e-006
40,5.599984e-006,2.299988e-006
41,4.500005e-006,2.899993e-006
42,4.100002e-006,2.999994e-006
43,4.399975e-006,3.099995e-006
44,6.980001e-005,2.599991e-006
45,5.300011e-006,2.499990e-006
46,4.300004e-006,3.299996e-006
47,4.600006e-006,3.299996e-006
48,4.600006e-006,3.399997e-006
49,4.800007e-006,3.699999e-006
50,6.599992e-006,3.399997e-006
51,2.189999e-005,3.399997e-006
52,2.090001e-005,3.399997e-006
53,5.400012e-006,3.900001e-006
54,5.400012e-006,4.100002e-006
55,5.599984e-006,4.200003e-006
56,5.999987e-006,4.100002e-006
57,6.099988e-006,4.400004e-006
58,2.330000e-005,4.300004e-006
59,2.010001e-005,4.400004e-006
60,9.600015e-006,4.299975e-006
61,8.100003e-006,4.700007e-006
62,2.260000e-005,4.499976e-006
63,7.900002e-006,4.500005e-006
