N,worst(secs),best(secs)
1,1.000008e-007,0.000000e+000
2,3.000023e-007,0.000000e+000
3,4.000030e-007,0.000000e+000
4,4.000030e-007,0.000000e+000
5,5.000038e-007,9.997166e-008
6,3.000023e-007,1.000008e-007
7,6.709999e-005,2.000015e-007
8,3.699999e-005,2.000015e-007
9,1.420002e-005,3.000023e-007
10,2.399989e-006,3.000023e-007
11,1.599998e-005,3.000023e-007
12,9.000069e-007,3.999739e-007
13,9.000069e-007,4.000030e-007
14,3.099995e-006,4.999747e-007
15,2.899993e-006,5.000038e-007
16,1.500011e-006,6.000046e-007
17,1.200009e-006,6.999762e-007
18,3.499998e-006,7.000053e-007
19,1.200009e-006,7.999770e-007
20,3.499998e-006,8.999777e-007
21,3.800000e-006,9.999785e-007
22,1.499982e-006,9.999785e-007
23,3.900001e-006,1.100008e-006
24,4.000001e-006,1.199980e-006
25,4.100002e-006,1.200009e-006
26,4.100002e-006,1.400011e-006
27,2.360001e-005,1.899985e-006
28,3.099000e-004,1.899985e-006
29,2.399989e-006,1.599983e-006
30,4.899979e-006,1.700013e-006
31,2.800021e-006,1.699984e-006
32,5.199981e-006,1.700013e-006
33,2.699991e-006,1.899985e-006
34,5.399983e-006,1.999986e-006
35,3.099995e-006,2.099987e-006
36,5.600014e-006,2.199988e-006
37,3.599998e-006,2.200017e-006
38,3.099995e-006,2.299988e-006
39,4.100002e-006,2.400018e-006
40,6.000017e-006,2.500019e-006
41,5.700014e-006,2.699991e-006
42,2.190002e-005,2.999994e-006
43,8.199975e-006,2.899993e-006
44,8.599978e-006,2.899993e-006
45,6.200018e-006,2.999994e-006
46,4.100002e-006,3.099995e-006
47,4.199974e-006,3.199995e-006
48,4.300004e-006,3.299996e-006
49,4.500005e-006,3.299996e-006
50,8.000003e-006,3.399997e-006
51,4.899979e-006,3.499998e-006
52,7.900002e-006,3.599998e-006
53,9.500014e-006,3.800000e-006
54,7.900002e-006,3.900001e-006
55,1.025000e-004,4.099973e-006
56,1.190000e-005,3.900001e-006
57,8.500007e-006,4.300004e-006
58,4.010001e-005,4.300004e-006
59,5.200010e-006,4.400004e-006
60,8.500007e-006,4.400004e-006
61,7.299997e-006,4.400004e-006
62,4.390001e-005,4.700007e-006
63,6.330002e-005,5.100010e-006
64,1.850002e-005,4.900008e-006
65,6.000017e-006,4.900008e-006
66,6.099988e-006,5.000009e-006
67,9.599986e-006,5.099981e-006
68,6.100017e-006,5.299982e-006
69,6.299990e-006,5.399983e-006
70,8.700008e-006,5.300011e-006
71,6.900023e-006,5.699985e-006
72,6.499991e-006,5.700014e-006
73,6.050000e-005,5.999987e-006
74,1.759999e-005,6.199989e-006
75,6.899994e-006,6.099988e-006
76,7.099996e-006,6.099988e-006
77,7.400027e-006,6.199989e-006
78,7.499999e-006,6.399991e-006
79,7.499999e-006,6.399991e-006
80,7.600000e-006,6.599992e-006
81,1.179997e-005,6.699993e-006
82,8.799980e-006,6.600021e-006
83,4.940000e-005,6.999995e-006
84,8.100003e-006,7.099996e-006
85,8.100003e-006,7.099996e-006
86,8.300005e-006,7.199997e-006
87,1.059999e-005,7.399998e-006
88,8.400006e-006,7.499999e-006
89,1.330001e-005,7.499999e-006
90,1.500000e-005,7.600000e-006
91,3.280002e-005,8.000003e-006
92,3.430000e-005,8.000003e-006
93,1.309998e-005,8.100003e-006
94,9.200012e-006,8.099974e-006
95,1.160000e-005,8.200004e-006
96,9.499985e-006,8.300005e-006
97,1.409999e-005,8.499977e-006
98,2.660000e-005,8.499977e-006
99,5.300000e-005,8.799980e-006
100,6.250001e-005,8.700008e-006
101,1.440002e-005,9.000010e-006
102,1.779999e-005,9.099982e-006
103,8.329999e-005,9.299984e-006
104,1.779999e-005,9.100011e-006
105,1.079999e-005,9.399984e-006
106,5.229999e-005,9.599986e-006
