N,worst(secs),best(secs)
1,1.000008e-007,0.000000e+000
2,1.000008e-007,0.000000e+000
3,1.000008e-007,0.000000e+000
4,3.000023e-007,0.000000e+000
5,4.000030e-007,9.997166e-008
6,3.000023e-007,1.000008e-007
7,2.099987e-006,9.997166e-008
8,5.000038e-007,1.999724e-007
9,4.000030e-007,1.999724e-007
10,6.000046e-007,1.999724e-007
11,6.000046e-007,2.000015e-007
12,6.000046e-007,2.999732e-007
13,6.999762e-007,3.999739e-007
14,7.000053e-007,3.999739e-007
15,1.000008e-006,4.000030e-007
16,1.200009e-006,4.999747e-007
17,1.200009e-006,5.999755e-007
18,2.000015e-006,5.999755e-007
19,1.500011e-006,6.999762e-007
20,1.499982e-006,6.999762e-007
21,1.600012e-006,7.000053e-007
22,1.300010e-006,7.000053e-007
23,1.700013e-006,9.000069e-007
24,2.200017e-006,9.999785e-007
25,3.599998e-006,8.000061e-007
26,1.500011e-006,8.999777e-007
27,3.599998e-006,8.999777e-007
28,3.629999e-005,1.100008e-006
29,2.099987e-006,1.099979e-006
30,6.400020e-006,1.200009e-006
31,5.399983e-006,1.500011e-006
32,2.400018e-006,1.400011e-006
33,2.399989e-006,1.500011e-006
34,2.699991e-006,1.599983e-006
35,8.070000e-005,1.700013e-006
36,4.000001e-006,1.399982e-006
37,3.099995e-006,1.899985e-006
38,2.999994e-006,1.899985e-006
39,3.099995e-006,1.699984e-006
40,2.400018e-006,1.600012e-006
41,3.399997e-006,1.700013e-006
42,5.499984e-006,1.799985e-006
43,2.799992e-006,1.999986e-006
44,2.899993e-006,1.799985e-006
45,5.500013e-006,2.099987e-006
46,9.000010e-006,2.200017e-006
47,5.300011e-006,2.800021e-006
48,5.400012e-006,2.400018e-006
49,4.920000e-005,2.499990e-006
50,6.899994e-006,2.499990e-006
51,4.100002e-006,2.400018e-006
52,4.300004e-006,2.699991e-006
53,4.300004e-006,2.799992e-006
54,4.600006e-006,2.899993e-006
55,6.600021e-006,2.799992e-006
56,9.099982e-006,3.099995e-006
57,1.789999e-005,3.199995e-006
58,7.100025e-006,3.299996e-006
59,7.399998e-006,4.400004e-006
60,2.705000e-004,4.299975e-006
61,2.149999e-005,3.699999e-006
62,5.199981e-006,3.699999e-006
63,8.100003e-006,3.900001e-006
64,8.200004e-006,3.900001e-006
65,6.199989e-006,4.299975e-006
66,6.199989e-006,4.200003e-006
67,7.300026e-006,4.400004e-006
68,6.400020e-006,4.200003e-006
69,6.100017e-006,4.600006e-006
70,6.599992e-006,4.700007e-006
71,1.671000e-004,4.999980e-006
72,1.419999e-005,5.000009e-006
73,8.700008e-006,4.499976e-006
74,1.190000e-005,5.000009e-006
75,9.999989e-006,5.300011e-006
76,7.299997e-006,5.300011e-006
77,2.830001e-005,5.399983e-006
78,7.499999e-006,5.600014e-006
79,8.000003e-006,5.599984e-006
