N,worst(secs),best(secs)
1,1.000008e-007,0.000000e+000
2,1.000008e-007,0.000000e+000
3,1.900014e-006,0.000000e+000
4,3.000023e-007,0.000000e+000
5,2.099987e-006,9.997166e-008
6,8.000061e-007,1.000008e-007
7,5.999755e-007,1.000008e-007
8,6.000046e-007,1.000008e-007
9,7.000053e-007,2.000015e-007
10,6.000046e-007,2.000015e-007
11,2.400018e-006,2.000015e-007
12,9.000069e-007,3.999739e-007
13,9.000069e-007,3.000023e-007
14,7.000053e-007,2.999732e-007
15,1.000008e-006,4.999747e-007
16,2.499990e-006,4.000030e-007
17,1.200009e-006,5.999755e-007
18,1.100008e-006,6.000046e-007
19,1.399982e-006,6.000046e-007
20,1.200009e-006,5.999755e-007
21,2.899993e-006,6.999762e-007
22,1.600012e-006,8.000061e-007
23,2.999994e-006,7.000053e-007
24,2.999994e-006,8.000061e-007
25,1.700013e-006,1.000008e-006
26,4.900008e-006,1.000008e-006
27,2.100016e-006,1.300010e-006
28,2.400018e-006,1.299981e-006
29,2.499990e-006,1.399982e-006
30,4.000001e-006,1.000008e-006
31,2.300018e-006,1.100008e-006
32,2.699991e-006,1.600012e-006
33,4.299975e-006,1.299981e-006
34,2.899993e-006,1.899985e-006
35,4.399975e-006,1.600012e-006
36,1.320001e-005,1.799985e-006
37,1.890000e-005,1.699984e-006
38,4.699978e-006,1.499982e-006
39,3.800000e-006,2.199988e-006
40,9.740001e-005,2.999994e-006
41,6.600021e-006,3.599998e-006
42,5.599984e-006,3.399997e-006
43,8.999981e-006,2.499990e-006
44,6.499991e-006,2.600020e-006
45,2.250000e-005,3.199995e-006
46,1.449999e-005,2.799992e-006
47,1.340001e-005,2.799992e-006
48,1.607000e-004,3.599998e-006
49,5.609999e-005,4.200003e-006
50,8.100003e-006,3.199995e-006
51,2.310000e-005,4.699978e-006
52,6.250001e-005,4.300004e-006
53,8.599978e-006,3.499998e-006
54,8.899980e-006,4.100002e-006
55,1.500000e-005,4.899979e-006
56,9.784000e-004,4.899979e-006
57,2.839998e-005,5.100010e-006
58,3.280002e-005,4.300004e-006
59,9.899988e-006,5.699985e-006
60,9.599986e-006,5.100010e-006
61,3.280002e-005,5.999987e-006
62,2.860001e-005,5.300011e-006
63,1.057000e-004,6.500020e-006
64,1.949997e-005,5.100010e-006
65,7.569999e-005,5.400012e-006
66,6.679998e-005,5.900016e-006
67,1.120000e-005,7.199997e-006
68,1.250001e-005,8.099974e-006
69,1.160000e-005,8.200004e-006
70,1.209998e-005,7.800001e-006
71,1.270001e-005,8.399977e-006
72,1.209998e-005,9.099982e-006
73,1.034000e-004,6.600021e-006
74,1.484000e-004,7.600000e-006
75,3.390000e-005,6.299990e-006
76,1.360002e-005,6.799994e-006
77,2.030001e-005,6.500020e-006
78,1.880000e-005,6.299990e-006
79,2.270000e-005,1.110000e-005
