N,worst(secs),best(secs)
1,2.000015e-007,0.000000e+000
2,3.000023e-007,0.000000e+000
3,3.000023e-007,0.000000e+000
4,4.000030e-007,0.000000e+000
5,5.000038e-007,9.997166e-008
6,5.000038e-007,1.000008e-007
7,5.000038e-007,1.999724e-007
8,8.000061e-007,2.000015e-007
9,2.499990e-006,2.999732e-007
10,6.000046e-007,2.999732e-007
11,9.000069e-007,3.999739e-007
12,1.000008e-006,4.999747e-007
13,2.800021e-006,4.999747e-007
14,3.199995e-006,5.999755e-007
15,2.799992e-006,6.000046e-007
16,1.199980e-006,7.000053e-007
17,3.300025e-006,8.000061e-007
18,3.199995e-006,7.999770e-007
19,1.400011e-006,8.000061e-007
20,3.699999e-006,9.999785e-007
21,3.699999e-006,9.999785e-007
22,4.100002e-006,1.099979e-006
23,3.800000e-006,1.100008e-006
24,1.900014e-006,1.200009e-006
25,2.899999e-005,1.299981e-006
26,2.029998e-005,1.599983e-006
27,1.530000e-005,1.600012e-006
28,2.599991e-006,1.399982e-006
29,5.100010e-006,1.599983e-006
30,2.500019e-006,1.699984e-006
31,2.699991e-006,1.799985e-006
32,5.299982e-006,1.800014e-006
33,5.100010e-006,1.899985e-006
34,3.099995e-006,1.999986e-006
35,3.000023e-006,2.000015e-006
36,5.299982e-006,2.199988e-006
37,2.479999e-005,2.399989e-006
38,5.500013e-006,2.399989e-006
39,5.100010e-006,2.300018e-006
40,3.499998e-006,2.299988e-006
41,3.900001e-006,2.499990e-006
42,4.499999e-005,2.499990e-006
43,2.909999e-005,2.899993e-006
44,8.889998e-005,2.899993e-006
45,6.500020e-006,2.899993e-006
46,5.799986e-006,2.899993e-006
47,7.199997e-006,2.999994e-006
48,5.000009e-006,3.099995e-006
49,6.600021e-006,3.200024e-006
50,4.499976e-006,3.200024e-006
51,2.420001e-005,3.599998e-006
52,2.000001e-005,3.499998e-006
53,1.370002e-005,3.599998e-006
54,7.800001e-006,3.599998e-006
55,7.700000e-006,3.699999e-006
56,1.289998e-005,3.900001e-006
57,2.969999e-005,4.200003e-006
58,9.199983e-006,4.000001e-006
59,9.699987e-006,4.000001e-006
60,1.039999e-005,4.100002e-006
61,7.399998e-006,4.100002e-006
62,1.049999e-005,4.300004e-006
63,4.810002e-005,4.500005e-006
64,9.800016e-006,4.300004e-006
65,9.499985e-006,4.600006e-006
66,8.500007e-006,4.600006e-006
67,2.790001e-005,4.900008e-006
68,1.719999e-005,5.299982e-006
69,1.079999e-005,4.900008e-006
70,1.609998e-005,4.999980e-006
71,9.099982e-006,5.200010e-006
72,1.120000e-005,5.100010e-006
73,6.800023e-006,5.200010e-006
74,1.010002e-005,5.399983e-006
75,9.600015e-006,5.500013e-006
76,2.380001e-005,5.599984e-006
77,2.630000e-005,5.799986e-006
78,8.500007e-006,5.699985e-006
79,1.289998e-005,5.799986e-006
80,1.049999e-005,5.900016e-006
81,8.199975e-006,5.999987e-006
82,7.800001e-006,6.099988e-006
83,9.300013e-006,6.099988e-006
84,7.900002e-006,6.200018e-006
85,4.799999e-005,6.499991e-006
86,6.319999e-005,6.499991e-006
87,1.160000e-005,6.399991e-006
88,8.399977e-006,6.399991e-006
89,1.389999e-005,6.799994e-006
90,8.600007e-006,6.799994e-006
91,1.209998e-005,6.899994e-006
92,1.600001e-005,6.999995e-006
93,1.220001e-005,6.999995e-006
