N,worst(secs),best(secs)
1,5.900016e-006,2.999732e-007
2,9.999785e-007,1.999724e-007
3,5.700014e-006,1.999724e-007
4,1.300010e-006,2.000015e-007
5,1.899985e-006,2.000015e-007
6,1.599983e-006,2.999732e-007
7,3.599998e-006,6.999762e-007
8,3.699999e-006,7.000053e-007
9,3.299996e-006,7.999770e-007
10,5.099981e-006,8.999777e-007
11,4.100002e-006,9.000069e-007
12,2.999994e-006,9.000069e-007
13,3.699999e-006,1.100008e-006
14,3.199995e-006,1.299981e-006
15,5.499984e-006,1.299981e-006
16,5.999987e-006,1.499982e-006
17,5.100010e-006,1.599983e-006
18,7.800001e-006,1.600012e-006
19,5.799986e-006,1.800014e-006
20,5.899987e-006,1.899985e-006
21,6.200018e-006,2.000015e-006
22,6.699993e-006,2.099987e-006
23,5.000009e-006,2.099987e-006
24,6.899994e-006,2.199988e-006
25,6.499991e-006,2.400018e-006
26,6.100017e-006,2.599991e-006
27,2.530002e-005,2.799992e-006
28,4.400004e-006,2.899993e-006
29,4.200003e-006,3.100024e-006
30,7.499999e-006,3.299996e-006
31,4.829999e-005,3.800000e-006
32,2.310000e-005,4.100002e-006
33,9.200012e-006,4.299975e-006
34,1.160000e-005,4.400004e-006
35,1.220001e-005,4.700007e-006
36,1.100000e-005,4.899979e-006
37,1.430002e-005,5.199981e-006
38,8.200004e-006,4.999980e-006
39,1.260001e-005,5.400012e-006
40,1.290001e-005,5.800015e-006
41,1.570000e-005,6.299990e-006
42,5.290000e-005,7.399998e-006
43,3.170001e-005,6.799994e-006
44,1.670001e-005,9.199983e-006
45,1.410002e-005,7.399998e-006
46,4.553000e-004,9.599986e-006
47,1.359999e-005,7.399998e-006
48,3.950001e-005,9.599986e-006
49,1.091000e-004,8.800009e-006
50,1.620001e-005,1.120000e-005
51,3.570001e-005,1.120000e-005
52,5.050001e-005,9.200012e-006
53,5.949999e-005,1.240001e-005
54,4.910000e-005,1.040002e-005
55,2.969999e-005,1.039999e-005
56,3.270002e-005,1.100000e-005
57,3.861000e-004,1.380002e-005
58,2.810000e-004,1.439999e-005
59,2.240000e-005,1.550000e-005
60,4.310001e-005,1.550000e-005
61,4.660001e-005,1.269998e-005
62,1.199000e-004,1.619998e-005
63,1.152000e-004,1.359999e-005
64,5.360000e-005,1.340001e-005
65,3.610001e-005,1.409999e-005
66,4.469999e-005,1.910000e-005
67,1.253000e-004,1.480000e-005
68,9.425000e-004,1.640001e-005
69,4.779999e-005,1.609998e-005
70,5.770000e-005,1.920000e-005
71,1.162000e-004,1.669998e-005
72,1.796000e-004,1.729999e-005
73,2.969999e-005,1.740002e-005
74,2.809998e-005,1.779999e-005
75,3.060000e-005,1.830002e-005
76,2.809000e-004,1.940000e-005
77,1.172000e-004,2.370001e-005
78,3.319999e-005,2.019998e-005
79,5.119998e-005,2.129999e-005
80,4.063000e-004,2.539999e-005
81,5.540001e-005,2.230000e-005
82,6.190001e-005,2.169999e-005
83,1.515000e-004,2.270000e-005
84,1.655000e-004,2.889999e-005
85,1.431300e-003,3.000000e-005
86,8.843000e-004,2.400001e-005
87,1.545000e-004,2.449998e-005
88,1.521000e-004,2.479999e-005
89,3.124000e-004,2.579999e-005
90,4.459999e-005,2.690000e-005
91,3.283000e-004,2.750001e-005
92,1.642000e-004,2.730000e-005
93,1.642000e-004,2.849998e-005
94,1.820000e-004,2.819998e-005
95,1.941000e-004,3.050000e-005
96,2.830000e-004,3.090000e-005
97,1.691000e-004,3.080000e-005
98,3.166000e-004,3.050000e-005
99,1.169000e-004,4.590000e-005
100,5.788000e-004,3.260002e-005
101,2.140000e-004,3.280002e-005
102,6.880000e-005,3.440000e-005
103,6.318000e-004,4.150002e-005
104,1.072000e-004,4.690001e-005
105,2.812000e-004,3.519998e-005
106,2.581000e-004,3.870000e-005
107,2.030000e-004,3.709999e-005
108,1.795000e-004,3.830000e-005
109,1.091000e-004,3.870000e-005
110,3.415000e-004,3.760000e-005
111,3.003000e-004,4.019999e-005
112,1.670000e-004,4.010001e-005
113,1.103000e-004,4.230000e-005
114,9.108000e-004,5.219999e-005
115,8.704000e-004,5.579999e-005
116,9.420000e-004,4.379998e-005
117,5.227000e-004,4.409999e-005
118,9.415000e-004,5.879998e-005
119,9.891000e-004,5.510001e-005
120,5.678000e-004,5.880001e-005
121,2.328000e-004,4.839999e-005
122,1.350000e-004,4.809999e-005
123,2.241000e-004,4.830002e-005
124,1.533000e-004,4.730001e-005
125,3.152000e-004,5.040001e-005
126,5.450000e-004,5.159999e-005
127,4.849000e-004,5.189999e-005
128,7.869999e-005,5.130001e-005
129,1.995000e-004,5.539999e-005
130,1.102000e-004,5.360000e-005
131,1.614000e-004,5.470001e-005
132,2.921000e-004,5.690000e-005
133,1.366000e-004,5.629999e-005
134,1.528000e-004,5.730000e-005
135,1.131000e-004,5.619999e-005
136,1.613000e-004,5.840001e-005
137,1.188800e-003,5.840001e-005
138,1.605000e-004,6.070000e-005
139,8.750000e-005,6.090000e-005
140,1.658000e-004,6.269998e-005
141,7.120002e-005,6.269998e-005
142,2.517000e-004,6.349999e-005
143,9.369999e-005,6.510000e-005
144,2.788000e-004,6.540000e-005
145,1.003000e-004,6.630001e-005
146,2.049000e-004,6.720002e-005
147,9.940000e-005,6.789999e-005
148,1.608000e-004,6.930000e-005
149,1.466000e-004,6.930000e-005
150,1.753000e-004,7.039998e-005
151,1.079000e-004,7.050001e-005
152,1.767000e-004,7.210000e-005
153,1.739000e-004,7.400001e-005
154,1.558000e-004,7.479999e-005
155,2.785000e-004,7.550002e-005
156,1.337000e-004,7.600000e-005
157,1.940000e-004,7.710001e-005
158,2.266000e-004,7.750001e-005
159,1.673000e-004,7.859999e-005
160,2.092000e-004,7.959999e-005
161,2.422000e-004,8.200001e-005
162,1.378000e-004,8.289999e-005
163,1.990000e-004,8.410000e-005
164,2.087000e-004,8.489998e-005
165,1.845000e-004,8.580001e-005
166,1.746000e-004,8.570001e-005
167,1.898000e-004,8.659999e-005
168,1.407000e-004,8.790000e-005
169,1.507000e-004,8.999999e-005
170,2.012000e-004,9.089999e-005
171,2.030000e-004,9.259998e-005
172,7.749000e-004,9.230000e-005
173,2.007000e-004,9.490000e-005
174,2.619000e-004,9.540000e-005
175,2.540000e-004,9.610000e-005
176,1.510000e-004,9.810002e-005
177,2.117000e-004,9.459999e-005
178,2.056000e-004,1.002000e-004
179,2.052000e-004,9.980000e-005
180,2.473000e-004,1.000000e-004
181,2.470000e-004,1.015000e-004
182,2.154000e-004,1.038000e-004
183,2.285000e-004,1.056000e-004
184,2.782000e-004,1.049000e-004
185,1.948000e-004,1.074000e-004
186,1.747000e-004,1.097000e-004
187,2.178000e-004,1.098000e-004
188,2.246000e-004,1.102000e-004
189,3.158000e-004,1.114000e-004
190,2.586000e-004,1.136000e-004
191,2.611000e-004,1.152000e-004
192,2.210000e-004,1.130000e-004
193,2.596000e-004,1.190000e-004
194,2.124000e-004,1.174000e-004
195,2.716000e-004,1.178000e-004
196,2.050000e-004,1.203000e-004
197,3.004000e-004,1.208000e-004
198,2.356000e-004,1.229000e-004
199,2.381000e-004,1.233000e-004
200,2.849000e-004,1.254000e-004
201,3.197000e-004,1.262000e-004
202,2.669000e-004,1.282000e-004
203,2.453000e-004,1.241000e-004
204,2.092000e-004,1.314000e-004
205,2.149000e-004,1.312000e-004
206,4.384000e-004,1.313000e-004
207,2.968000e-004,1.352000e-004
208,3.950000e-004,1.395000e-004
209,2.375000e-004,1.382000e-004
210,1.054000e-003,1.383000e-004
211,2.384000e-004,1.395000e-004
212,3.747000e-004,1.429000e-004
213,3.731000e-004,1.417000e-004
214,4.321000e-004,1.452000e-004
215,4.833000e-004,1.472000e-004
216,3.351000e-004,1.475000e-004
217,2.556000e-004,1.479000e-004
218,2.550000e-004,1.509000e-004
219,3.102000e-004,1.511000e-004
220,2.978000e-004,1.512000e-004
221,3.371000e-004,1.544000e-004
222,3.498000e-004,1.562000e-004
223,3.451000e-004,1.560000e-004
224,2.828000e-004,1.568000e-004
225,3.672000e-004,1.624000e-004
226,2.970000e-004,1.581000e-004
227,3.393000e-004,1.608000e-004
228,3.117000e-004,1.636000e-004
229,2.841000e-004,1.629000e-004
230,3.712000e-004,1.687000e-004
231,3.635000e-004,1.663000e-004
232,3.554000e-004,1.707000e-004
233,2.950000e-004,1.687000e-004
234,3.247000e-004,1.717000e-004
235,2.924000e-004,1.776000e-004
236,5.577000e-004,1.786000e-004
237,3.622000e-004,1.769000e-004
238,3.019000e-004,1.767000e-004
239,3.047000e-004,1.787000e-004
240,3.279000e-004,1.805000e-004
241,5.942000e-004,1.861000e-004
242,3.184000e-004,1.861000e-004
243,3.365000e-004,1.886000e-004
244,7.800000e-004,1.889000e-004
245,3.516000e-004,1.893000e-004
246,4.499000e-004,1.916000e-004
247,3.615000e-004,1.854000e-004
248,3.765000e-004,1.945000e-004
249,4.422000e-004,1.963000e-004
250,3.741000e-004,2.003000e-004
251,3.320000e-004,1.938000e-004
252,4.001000e-004,2.037000e-004
253,3.320000e-004,2.037000e-004
254,6.049000e-004,2.037000e-004
255,3.688000e-004,2.060000e-004
256,3.910000e-004,2.107000e-004
257,5.060000e-004,2.109000e-004
258,4.559000e-004,2.115000e-004
259,3.582000e-004,2.103000e-004
260,3.581000e-004,2.190000e-004
261,3.744000e-004,2.138000e-004
262,3.784000e-004,2.202000e-004
263,3.456000e-004,2.201000e-004
264,3.560000e-004,2.216000e-004
265,6.021000e-004,2.184000e-004
266,3.600000e-004,2.265000e-004
267,4.263000e-004,2.261000e-004
268,3.547000e-004,2.277000e-004
269,5.482000e-004,2.267000e-004
270,4.527000e-004,2.323000e-004
271,4.196000e-004,2.347000e-004
272,4.083000e-004,2.345000e-004
273,4.356000e-004,2.361000e-004
274,3.844000e-004,2.388000e-004
275,3.734000e-004,2.400000e-004
276,4.752000e-004,2.455000e-004
277,3.956000e-004,2.425000e-004
278,4.246000e-004,2.432000e-004
279,4.181000e-004,2.473000e-004
280,4.542000e-004,2.490000e-004
281,4.447000e-004,2.497000e-004
282,4.077000e-004,2.515000e-004
283,4.233000e-004,2.553000e-004
284,5.070000e-004,2.581000e-004
285,4.543000e-004,2.578000e-004
286,6.486000e-004,2.620000e-004
287,4.327000e-004,2.623000e-004
288,4.348000e-004,2.699000e-004
289,4.335000e-004,2.640000e-004
290,5.187000e-004,2.664000e-004
291,4.956000e-004,2.702000e-004
292,5.423000e-004,2.746000e-004
293,4.064000e-004,2.728000e-004
294,6.211000e-004,2.763000e-004
295,4.449000e-004,2.773000e-004
296,4.303000e-004,2.758000e-004
297,4.268000e-004,2.840000e-004
298,4.739000e-004,2.839000e-004
299,4.704000e-004,2.877000e-004
300,4.198000e-004,2.886000e-004
301,4.375000e-004,2.867000e-004
302,4.673000e-004,2.915000e-004
303,4.195000e-004,2.938000e-004
304,4.545000e-004,2.899000e-004
305,4.391000e-004,2.967000e-004
306,4.795000e-004,2.929000e-004
307,4.784000e-004,3.030000e-004
308,5.360000e-004,3.054000e-004
309,4.488000e-004,2.990000e-004
310,4.629000e-004,3.098000e-004
311,4.984000e-004,3.061000e-004
312,5.285000e-004,3.003000e-004
313,4.727000e-004,3.081000e-004
314,5.820000e-004,3.131000e-004
315,4.849000e-004,3.161000e-004
316,4.946000e-004,3.132000e-004
317,4.699000e-004,3.198000e-004
318,5.654000e-004,3.211000e-004
319,5.243000e-004,3.165000e-004
320,4.702000e-004,3.306000e-004
321,8.536000e-004,3.272000e-004
322,4.981000e-004,3.349000e-004
323,5.863000e-004,3.299000e-004
324,5.042000e-004,3.328000e-004
325,4.883000e-004,3.373000e-004
326,5.511000e-004,3.340000e-004
327,5.199000e-004,3.428000e-004
328,5.399000e-004,3.456000e-004
329,5.044000e-004,3.449000e-004
330,4.718000e-004,3.497000e-004
331,6.034000e-004,3.495000e-004
332,5.456000e-004,3.522000e-004
333,5.165000e-004,3.576000e-004
334,5.900000e-004,3.559000e-004
335,5.564000e-004,3.553000e-004
336,5.378000e-004,3.622000e-004
337,5.471000e-004,3.506000e-004
338,5.101000e-004,3.660000e-004
339,6.285000e-004,3.691000e-004
340,5.261000e-004,3.615000e-004
341,5.861000e-004,3.682000e-004
342,5.420000e-004,3.768000e-004
343,5.787000e-004,3.756000e-004
344,2.953800e-003,3.779000e-004
345,3.384700e-003,3.875000e-004
346,1.159300e-003,3.888000e-004
347,1.210300e-003,3.907000e-004
348,1.182400e-003,3.911000e-004
349,1.853500e-003,3.937000e-004
350,1.467000e-003,3.960000e-004
351,1.593500e-003,5.122000e-004
352,1.712100e-003,3.952000e-004
353,7.819000e-004,4.057000e-004
354,7.302000e-004,4.029000e-004
355,6.387000e-004,4.110000e-004
356,6.320000e-004,4.092000e-004
357,7.097000e-004,4.203000e-004
358,8.056000e-004,4.191000e-004
359,7.590000e-004,4.160000e-004
360,6.837000e-004,4.265000e-004
361,6.923000e-004,4.124000e-004
362,7.108000e-004,4.262000e-004
363,6.343000e-004,4.213000e-004
364,8.970000e-004,4.280000e-004
365,7.485000e-004,4.274000e-004
366,7.174000e-004,4.351000e-004
367,7.421000e-004,4.287000e-004
368,6.891000e-004,4.354000e-004
369,8.931000e-004,4.472000e-004
370,6.930000e-004,4.266000e-004
371,7.163000e-004,4.502000e-004
372,8.146000e-004,4.545000e-004
373,8.380000e-004,4.480000e-004
374,7.304000e-004,4.505000e-004
375,7.250000e-004,4.517000e-004
376,7.286000e-004,4.562000e-004
377,6.906000e-004,4.584000e-004
378,6.515000e-004,4.552000e-004
379,6.597000e-004,4.587000e-004
380,6.386000e-004,4.618000e-004
381,6.475000e-004,4.722000e-004
382,6.250000e-004,4.715000e-004
383,1.204000e-003,4.768000e-004
384,7.070000e-004,4.707000e-004
385,6.923000e-004,4.724000e-004
386,7.234000e-004,4.806000e-004
387,7.427000e-004,4.746000e-004
388,7.614000e-004,4.815000e-004
389,6.745000e-004,4.855000e-004
390,6.599000e-004,4.937000e-004
391,6.928000e-004,4.951000e-004
392,8.058000e-004,4.955000e-004
393,6.944000e-004,4.953000e-004
394,6.795000e-004,4.969000e-004
395,7.324000e-004,4.958000e-004
396,7.086000e-004,5.092000e-004
397,6.939000e-004,5.068000e-004
398,7.540000e-004,5.136000e-004
399,9.065000e-004,5.156000e-004
400,8.045000e-004,5.071000e-004
401,1.457000e-003,5.166000e-004
402,8.006000e-004,5.191000e-004
403,7.502000e-004,5.215000e-004
404,7.966000e-004,5.291000e-004
405,7.609000e-004,5.265000e-004
406,7.926000e-004,5.267000e-004
407,9.434000e-004,5.350000e-004
408,8.270000e-004,5.342000e-004
409,7.785000e-004,5.464000e-004
410,7.814000e-004,5.423000e-004
411,7.268000e-004,5.359000e-004
412,8.167000e-004,5.493000e-004
413,8.054000e-004,5.469000e-004
414,7.971000e-004,5.509000e-004
415,8.213000e-004,5.594000e-004
416,1.104900e-003,5.570000e-004
417,9.081000e-004,5.630000e-004
418,1.170900e-003,5.549000e-004
419,8.329000e-004,5.676000e-004
420,7.808000e-004,5.739000e-004
421,7.743000e-004,5.657000e-004
422,7.912000e-004,5.730000e-004
423,8.304000e-004,5.803000e-004
424,7.648000e-004,5.814000e-004
425,8.303000e-004,5.853000e-004
426,8.953000e-004,5.755000e-004
427,8.456000e-004,5.874000e-004
428,8.382000e-004,5.900000e-004
429,8.334000e-004,5.887000e-004
430,8.430000e-004,5.916000e-004
431,8.746000e-004,6.028000e-004
432,8.665000e-004,6.103000e-004
