N,worst(secs),best(secs)
1,1.000008e-007,0.000000e+000
2,1.000008e-007,0.000000e+000
3,2.199988e-006,0.000000e+000
4,1.999986e-006,0.000000e+000
5,3.000023e-007,0.000000e+000
6,4.000030e-007,1.000008e-007
7,2.400018e-006,1.000008e-007
8,8.600007e-006,2.000015e-007
9,2.399989e-006,3.000023e-007
10,7.000053e-007,3.000023e-007
11,7.000053e-007,3.999739e-007
12,8.000061e-007,4.000030e-007
13,1.100008e-006,5.999755e-007
14,1.300010e-006,6.999762e-007
15,1.200009e-006,7.999770e-007
16,1.299981e-006,8.999777e-007
17,1.699984e-006,8.999777e-007
18,2.099987e-006,1.099979e-006
19,2.100016e-006,1.199980e-006
20,2.499990e-006,1.299981e-006
21,2.399989e-006,1.299981e-006
22,2.699991e-006,1.299981e-006
23,2.399989e-006,1.699984e-006
24,1.470000e-005,1.500011e-006
25,3.699999e-006,1.500011e-006
26,2.399989e-006,1.699984e-006
27,4.499976e-006,1.800014e-006
28,4.700007e-006,1.900014e-006
29,5.300011e-006,2.199988e-006
30,3.980001e-005,2.299988e-006
31,3.499998e-006,2.299988e-006
32,5.399983e-006,2.399989e-006
33,3.399997e-006,2.499990e-006
34,5.599984e-006,2.699991e-006
35,3.829997e-005,2.799992e-006
36,6.399991e-006,2.999994e-006
37,6.100017e-006,3.099995e-006
38,3.619998e-005,3.299996e-006
39,6.599992e-006,3.599998e-006
40,1.819999e-005,3.699999e-006
41,6.799994e-006,3.900001e-006
42,7.199997e-006,3.900001e-006
43,7.499999e-006,4.100002e-006
44,8.100003e-006,4.299975e-006
45,5.299982e-006,4.399975e-006
46,8.000003e-006,4.600006e-006
47,7.999974e-006,4.700007e-006
48,8.800009e-006,5.000009e-006
49,9.099982e-006,5.199981e-006
50,6.400020e-006,5.299982e-006
51,9.099982e-006,5.700014e-006
52,6.699993e-006,5.799986e-006
53,1.276000e-004,6.099988e-006
54,1.873000e-004,6.399991e-006
55,1.079999e-005,8.000003e-006
56,1.120000e-005,6.699993e-006
57,1.090000e-005,6.799994e-006
58,1.069999e-005,6.900023e-006
59,1.150000e-005,7.299997e-006
60,1.160000e-005,7.499999e-006
61,3.160001e-005,7.900002e-006
62,1.250001e-005,7.900002e-006
63,1.210000e-005,8.199975e-006
64,1.239998e-005,8.499977e-006
65,2.179999e-005,8.599978e-006
66,9.899988e-006,8.999981e-006
67,1.049999e-005,9.199983e-006
68,1.550000e-005,9.399984e-006
69,1.059999e-005,9.699987e-006
70,5.180002e-005,1.009999e-005
71,4.980000e-005,1.039999e-005
72,1.550000e-005,1.039999e-005
73,1.190000e-005,1.059999e-005
74,1.520000e-005,1.079999e-005
75,1.490000e-005,1.130000e-005
76,1.250001e-005,1.130000e-005
77,1.320001e-005,1.160000e-005
78,5.569999e-005,1.200000e-005
79,1.026000e-004,1.250001e-005
