N,worst(secs),best(secs)
1,2.000015e-007,0.000000e+000
2,1.000008e-007,0.000000e+000
3,1.000008e-007,0.000000e+000
4,1.999986e-006,0.000000e+000
5,3.999739e-007,0.000000e+000
6,4.000030e-007,1.000008e-007
7,7.000053e-007,1.000008e-007
8,2.500019e-006,1.999724e-007
9,7.999770e-007,2.000015e-007
10,1.000008e-006,3.000023e-007
11,1.200009e-006,3.000023e-007
12,9.000069e-007,4.000030e-007
13,2.899993e-006,4.000030e-007
14,1.100008e-006,6.000046e-007
15,1.700013e-006,5.000038e-007
16,1.300010e-006,6.000046e-007
17,1.600012e-006,8.999777e-007
18,2.109999e-005,1.100008e-006
19,1.190000e-005,1.099979e-006
20,2.400018e-006,1.199980e-006
21,2.000015e-006,1.000008e-006
22,2.599991e-006,1.400011e-006
23,5.199981e-006,1.199980e-006
24,2.500019e-006,1.400011e-006
25,4.999980e-006,1.699984e-006
26,3.000023e-006,1.700013e-006
27,4.900008e-006,1.800014e-006
28,6.300019e-006,1.899985e-006
29,3.399997e-006,1.900014e-006
30,3.500027e-006,2.200017e-006
31,4.200003e-006,2.200017e-006
32,6.399991e-006,2.800021e-006
33,4.700007e-006,2.699991e-006
34,4.500005e-006,2.799992e-006
35,7.830001e-005,3.399997e-006
36,4.550000e-005,3.699999e-006
37,7.600000e-006,3.599998e-006
38,9.499985e-006,3.399997e-006
39,9.000010e-006,3.800000e-006
40,9.899988e-006,3.699999e-006
41,6.299990e-006,3.600027e-006
42,7.700000e-006,4.100002e-006
43,8.900010e-006,4.400004e-006
44,7.299997e-006,4.800007e-006
45,4.630000e-005,4.700007e-006
46,4.119999e-005,6.499991e-006
47,4.049999e-005,4.999980e-006
48,3.089997e-005,4.900008e-006
49,1.389999e-005,6.099988e-006
50,7.750001e-005,5.699985e-006
51,6.550000e-005,6.699993e-006
52,9.200012e-006,6.899994e-006
53,9.999989e-006,6.899994e-006
54,1.439999e-005,7.399998e-006
55,1.399999e-005,7.700000e-006
56,1.640001e-005,7.900002e-006
57,1.500000e-005,8.000003e-006
58,1.140000e-005,8.100003e-006
59,5.170002e-005,8.800009e-006
60,1.749999e-005,8.700008e-006
61,1.710001e-005,9.399984e-006
62,1.620001e-005,9.000010e-006
63,1.500000e-005,9.400013e-006
64,5.499998e-005,1.009999e-005
65,1.098000e-004,1.039999e-005
66,2.190002e-005,1.029999e-005
67,1.500003e-005,9.999989e-006
68,2.680000e-005,1.069999e-005
69,1.990001e-005,1.170000e-005
70,2.220002e-005,1.209998e-005
71,6.020002e-005,1.299998e-005
72,6.220001e-005,1.309998e-005
73,3.630001e-005,1.279998e-005
74,1.779999e-005,1.279998e-005
75,1.769999e-005,1.390002e-005
76,2.019998e-005,1.439999e-005
77,5.929999e-005,1.490000e-005
78,6.170000e-005,1.419999e-005
79,2.700000e-005,1.560000e-005
80,2.310000e-005,1.430002e-005
81,2.110002e-005,1.610001e-005
82,3.050000e-005,1.630001e-005
83,5.830001e-005,1.609998e-005
84,1.217000e-004,1.660001e-005
85,2.610000e-005,1.759999e-005
86,2.370001e-005,1.699998e-005
87,2.350000e-005,1.819999e-005
88,7.070001e-005,1.739999e-005
89,6.779999e-005,1.870000e-005
90,3.220001e-005,1.880000e-005
91,2.540002e-005,1.979998e-005
92,2.869999e-005,1.940000e-005
93,6.950001e-005,1.880000e-005
94,9.399999e-005,2.080001e-005
95,3.390000e-005,2.150002e-005
96,2.787000e-004,2.250000e-005
97,9.210000e-005,2.119999e-005
98,9.380002e-005,2.240003e-005
99,3.560001e-005,2.320000e-005
100,3.840000e-005,2.179999e-005
101,7.450001e-005,2.380001e-005
102,8.880001e-005,2.400001e-005
103,4.499999e-005,2.429998e-005
104,7.390001e-005,2.529999e-005
105,9.379999e-005,2.589999e-005
106,4.759998e-005,2.610000e-005
107,4.180000e-005,2.680000e-005
108,1.282000e-004,2.799998e-005
109,2.918000e-004,2.819998e-005
110,4.870002e-005,2.730000e-005
111,1.070000e-004,2.929999e-005
112,1.077000e-004,2.989999e-005
113,5.440001e-005,3.510001e-005
114,7.880002e-005,3.060000e-005
115,6.560000e-005,3.090000e-005
116,4.610000e-005,3.160001e-005
117,5.259999e-005,3.179998e-005
118,9.634000e-004,3.210001e-005
119,9.170000e-005,3.369999e-005
120,1.571000e-004,3.349999e-005
121,9.550000e-005,3.380000e-005
122,4.940000e-005,3.460000e-005
123,7.869999e-005,3.440000e-005
124,9.760002e-005,3.550001e-005
125,5.760000e-005,3.460000e-005
126,1.154000e-004,3.600001e-005
127,1.057000e-004,3.709999e-005
128,7.739998e-005,3.679999e-005
129,1.234000e-004,3.610001e-005
130,6.250001e-005,3.630001e-005
131,6.530000e-005,3.960001e-005
132,1.001000e-004,4.080002e-005
133,8.550001e-005,3.800000e-005
134,1.111000e-004,4.150000e-005
135,5.760000e-005,4.120002e-005
136,1.793000e-004,4.230000e-005
137,8.179998e-005,4.330001e-005
138,5.489998e-005,4.439999e-005
139,1.381000e-004,4.530000e-005
140,7.820001e-005,4.340001e-005
141,9.340001e-005,4.499999e-005
142,1.268000e-004,4.710001e-005
143,6.270001e-005,4.719998e-005
144,1.821000e-004,4.719998e-005
145,6.809999e-005,4.750001e-005
146,1.350000e-004,4.769998e-005
147,1.626000e-004,4.840002e-005
148,7.350001e-005,4.990000e-005
149,1.691000e-004,4.980000e-005
150,7.580000e-005,5.110001e-005
151,1.462000e-004,5.189999e-005
152,7.480002e-005,5.139998e-005
153,1.345000e-004,5.320000e-005
154,1.198000e-004,5.220002e-005
155,7.960002e-005,5.370000e-005
156,1.208000e-004,5.410000e-005
157,1.473000e-004,5.400000e-005
158,1.264000e-004,5.449998e-005
159,1.589000e-004,5.760000e-005
160,1.043000e-004,5.520001e-005
161,1.952000e-004,5.849998e-005
162,1.148000e-004,5.880001e-005
163,1.752000e-004,5.950002e-005
164,9.399999e-005,5.980002e-005
165,1.411000e-004,5.899998e-005
166,1.510000e-004,6.110000e-005
167,1.614000e-004,6.209998e-005
168,9.720001e-005,6.279998e-005
169,1.552000e-004,6.299998e-005
170,1.409000e-004,6.260001e-005
171,1.465000e-004,6.510000e-005
172,1.806000e-004,6.590001e-005
173,1.663000e-004,6.669998e-005
174,9.830002e-005,6.630001e-005
175,1.303000e-004,6.850000e-005
176,1.635000e-004,6.809999e-005
177,1.346000e-004,7.079999e-005
178,1.364000e-004,6.880000e-005
179,5.428000e-004,6.719999e-005
180,1.722000e-004,7.120002e-005
181,1.671000e-004,7.099999e-005
182,1.467000e-004,7.200000e-005
183,1.742000e-004,7.610000e-005
184,3.266000e-004,7.410001e-005
185,1.801000e-004,7.420001e-005
186,1.805000e-004,7.450001e-005
187,2.399000e-004,7.600000e-005
188,1.926000e-004,7.760001e-005
189,1.730000e-004,7.770001e-005
190,2.366000e-004,8.080000e-005
191,6.478000e-004,7.959999e-005
192,2.007000e-004,8.030000e-005
193,1.571000e-004,8.140001e-005
194,2.538000e-004,7.939999e-005
195,1.972000e-004,8.440000e-005
196,1.145000e-004,8.390000e-005
197,3.802000e-004,8.410000e-005
198,1.898000e-004,8.470000e-005
199,1.345000e-004,8.710002e-005
200,1.615000e-004,8.830000e-005
201,6.235000e-004,8.920001e-005
202,3.092000e-004,8.800000e-005
203,1.336000e-004,8.990002e-005
204,1.983000e-004,9.210000e-005
205,2.359000e-004,9.270001e-005
206,2.648000e-004,9.469999e-005
207,2.205000e-004,9.259998e-005
208,2.315000e-004,9.490000e-005
209,2.086000e-004,9.459999e-005
210,5.431000e-004,9.820002e-005
211,1.918000e-004,9.600000e-005
212,2.119000e-004,9.940000e-005
213,2.272000e-004,9.560000e-005
214,2.256000e-004,9.789999e-005
215,2.206000e-004,1.014000e-004
216,2.188000e-004,9.950000e-005
217,1.776000e-004,1.020000e-004
218,8.539000e-004,1.027000e-004
219,1.586900e-003,1.046000e-004
220,2.602000e-004,1.024000e-004
221,2.342000e-004,1.049000e-004
