N,worst(secs),best(secs)
1,3.000023e-007,0.000000e+000
2,1.000008e-007,0.000000e+000
3,1.900014e-006,0.000000e+000
4,2.000015e-007,0.000000e+000
5,3.000023e-007,0.000000e+000
6,4.000030e-007,1.000008e-007
7,2.100016e-006,1.000008e-007
8,2.200017e-006,1.999724e-007
9,6.000046e-007,1.999724e-007
10,3.499998e-006,2.000015e-007
11,6.000046e-007,3.000023e-007
12,2.699991e-006,2.999732e-007
13,9.000069e-007,3.000023e-007
14,7.000053e-007,4.000030e-007
15,9.000069e-007,4.999747e-007
16,1.199980e-006,5.000038e-007
17,1.000008e-006,5.000038e-007
18,1.099979e-006,6.000046e-007
19,1.199980e-006,7.000053e-007
20,1.399982e-006,7.999770e-007
21,3.299996e-006,8.000061e-007
22,3.099995e-006,9.000069e-007
23,3.299996e-006,9.000069e-007
24,1.699984e-006,9.000069e-007
25,5.999987e-006,1.199980e-006
26,7.700000e-006,1.099979e-006
27,2.599991e-006,1.299981e-006
28,1.900014e-006,1.199980e-006
29,2.000015e-006,1.299981e-006
30,2.299988e-006,1.400011e-006
31,2.599991e-006,1.300010e-006
32,2.200017e-006,1.599983e-006
33,4.399975e-006,1.500011e-006
34,2.800021e-006,1.699984e-006
35,2.599991e-006,1.700013e-006
36,3.300025e-006,1.800014e-006
37,2.799992e-006,1.600012e-006
38,2.699991e-006,1.899985e-006
39,2.799992e-006,1.999986e-006
40,3.300025e-006,2.100016e-006
41,2.799992e-006,2.199988e-006
42,7.600000e-006,2.299988e-006
43,2.939999e-005,2.399989e-006
44,9.699987e-006,2.399989e-006
45,4.700001e-005,2.599991e-006
46,3.399997e-006,2.599991e-006
47,3.599998e-006,2.699991e-006
48,4.400004e-006,2.699991e-006
49,5.900016e-006,2.899993e-006
50,4.600006e-006,2.899993e-006
51,8.100003e-006,2.999994e-006
52,6.199989e-006,3.099995e-006
53,8.300005e-006,3.099995e-006
54,6.899994e-006,3.199995e-006
55,8.900010e-006,3.199995e-006
56,7.099996e-006,3.299996e-006
57,9.819999e-005,3.499998e-006
58,3.359999e-005,3.699999e-006
59,5.199981e-006,3.699999e-006
60,9.500014e-006,4.200003e-006
61,7.000024e-006,4.800007e-006
62,6.900023e-006,5.200010e-006
63,1.010000e-004,4.500005e-006
64,1.990001e-005,4.600006e-006
65,5.900016e-006,4.299975e-006
66,7.900002e-006,4.300004e-006
67,5.800015e-006,4.299975e-006
68,2.060001e-005,4.599977e-006
69,8.900010e-006,4.500005e-006
70,9.599986e-006,4.699978e-006
71,6.099988e-006,4.599977e-006
72,8.300005e-006,4.800007e-006
73,8.600007e-006,4.800007e-006
74,9.800016e-006,4.899979e-006
75,6.299990e-006,4.900008e-006
76,9.699987e-006,5.299982e-006
77,1.640001e-005,5.100010e-006
78,9.499985e-006,5.300011e-006
79,6.600021e-006,5.500013e-006
80,1.280001e-005,5.500013e-006
81,7.200026e-006,5.599984e-006
82,1.030002e-005,5.700014e-006
83,1.150000e-005,6.100017e-006
84,4.269998e-005,5.999987e-006
85,7.800001e-006,5.899987e-006
86,1.090002e-005,5.999987e-006
87,1.890000e-005,6.299990e-006
88,7.600000e-006,6.399991e-006
89,1.079999e-005,6.399991e-006
90,8.099974e-006,6.400020e-006
91,1.049999e-005,6.400020e-006
92,7.900002e-006,6.600021e-006
93,1.170000e-005,6.699993e-006
94,8.260002e-005,6.999995e-006
95,1.100003e-005,6.900023e-006
96,8.899980e-006,6.899994e-006
97,1.630001e-005,7.199997e-006
98,8.700008e-006,7.199997e-006
99,1.200000e-005,7.299997e-006
100,9.000010e-006,7.299997e-006
101,9.200012e-006,7.499999e-006
102,8.210001e-005,7.600000e-006
103,5.140001e-005,7.600000e-006
104,1.079999e-005,7.800001e-006
105,1.280001e-005,8.100003e-006
106,9.599986e-006,8.000003e-006
107,1.470000e-005,8.199975e-006
108,1.220001e-005,8.300005e-006
109,1.359999e-005,8.400006e-006
110,1.039999e-005,8.300005e-006
111,1.004000e-004,8.599978e-006
112,3.790000e-005,8.700008e-006
113,1.450002e-005,8.800009e-006
114,1.030002e-005,8.700008e-006
115,1.470000e-005,8.800009e-006
116,1.399999e-005,9.099982e-006
117,1.069999e-005,8.800009e-006
118,1.520000e-005,8.900010e-006
119,1.036000e-004,9.099982e-006
120,7.740001e-005,9.199983e-006
121,3.780000e-005,9.599986e-006
122,1.169997e-005,9.500014e-006
123,1.349999e-005,9.499985e-006
124,1.150000e-005,9.999989e-006
125,2.730000e-005,9.799987e-006
126,1.419999e-005,1.009999e-005
127,2.799998e-005,1.029999e-005
128,1.770002e-005,1.029999e-005
129,1.190000e-005,1.039999e-005
130,2.350000e-005,1.120000e-005
131,1.470000e-005,1.190000e-005
132,2.479999e-005,1.160000e-005
133,1.225000e-004,1.170000e-005
134,6.419999e-005,1.110000e-005
135,1.270001e-005,1.100000e-005
136,1.590000e-005,1.130000e-005
137,1.349999e-005,1.140000e-005
138,1.829999e-005,1.140000e-005
139,1.780002e-005,1.160000e-005
140,3.522000e-004,1.180000e-005
141,1.409999e-005,1.180000e-005
142,1.419999e-005,1.150000e-005
143,1.880000e-005,1.200000e-005
144,1.720001e-005,1.209998e-005
145,1.419999e-005,1.230001e-005
146,6.070000e-005,1.260001e-005
147,3.380002e-005,1.239998e-005
148,2.589999e-005,1.240001e-005
149,1.460002e-005,1.260001e-005
150,2.000001e-005,1.249998e-005
151,1.550000e-005,1.269998e-005
152,5.529998e-005,1.310001e-005
153,8.360000e-005,1.289998e-005
154,1.690001e-005,1.309998e-005
155,1.540000e-005,1.339999e-005
156,1.530000e-005,1.340001e-005
157,2.109999e-005,1.349999e-005
158,5.659999e-005,1.369999e-005
159,5.140001e-005,1.339999e-005
160,1.600001e-005,1.369999e-005
161,1.900000e-005,1.399999e-005
162,1.660001e-005,1.419999e-005
163,1.610001e-005,1.429999e-005
164,1.357000e-004,1.449999e-005
165,5.700003e-005,1.470000e-005
166,2.039998e-005,1.459999e-005
167,2.419998e-005,1.459999e-005
168,1.789999e-005,1.459999e-005
169,1.690001e-005,1.480000e-005
170,5.810001e-005,1.480000e-005
171,2.630003e-005,1.540000e-005
172,2.150002e-005,1.540000e-005
